date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0.03454099968075752,1,0,0.21948200464248657,0.027315599843859673,3,Everton,0.03454099968075752,240130,1,Edimilson Fernandes,2017,1,70,Sub,7489,1,West Ham,0.1921669989824295,0
2018-05-05,0,1,0,0.12784500420093536,0.12784500420093536,0,West Ham,0,237537,0,Edimilson Fernandes,2017,2,10,Sub,7479,0,Leicester,0,0
2018-04-29,0,1,0,0,0.06894490122795105,1,Manchester City,0,236497,0,Edimilson Fernandes,2017,4,69,MC,7478,0,West Ham,0,0
2018-04-22,0.010062499903142452,0,0,0.010062499903142452,0,4,West Ham,0.010062499903142452,234813,0,Edimilson Fernandes,2017,1,65,AMC,7459,1,Arsenal,0,0
2018-04-16,0.046096500009298325,0,0,0.046096500009298325,0,1,Stoke,0.046096500009298325,233187,0,Edimilson Fernandes,2017,1,77,AMC,7458,1,West Ham,0,0
2018-04-08,0,1,0,0.046532098203897476,0.046532098203897476,1,West Ham,0,230341,0,Edimilson Fernandes,2017,1,71,AMC,7442,0,Chelsea,0,0
2018-03-31,0.03470199927687645,0,0,0.4900659918785095,0,3,Southampton,0.03470199927687645,226845,0,Edimilson Fernandes,2017,0,82,Sub,7434,1,West Ham,0.4553639888763428,0
2017-12-03,0,0,0,0,0,2,West Ham,0,178621,0,Edimilson Fernandes,2017,1,90,MC,7262,0,Manchester City,0,0
2017-11-04,0,1,0,0.029926300048828125,0.029926300048828125,1,Liverpool,0,179480,0,Edimilson Fernandes,2017,4,48,DMR,7227,0,West Ham,0.029926300048828125,0
2017-10-28,0,0,0,0,0,2,West Ham,0,177766,0,Edimilson Fernandes,2017,2,90,MC,7213,0,Crystal Palace,0,0
2017-10-20,0,1,0,0.08554639667272568,0.016368800774216652,0,Brighton,0,177458,0,Edimilson Fernandes,2017,3,14,Sub,7208,0,West Ham,0.06917770206928253,0
2017-08-26,0.007402690127491951,0,0,0.007402690127491951,0,3,West Ham,0.007402690127491951,176505,0,Edimilson Fernandes,2017,0,90,AML,7142,1,Newcastle United,0,0
2017-08-19,0,0,0,0,0,3,West Ham,0,179833,0,Edimilson Fernandes,2017,2,19,Sub,7130,0,Southampton,0,0
2017-08-13,0.09754029661417007,1,0,0.19679300487041473,0.030512800440192223,4,West Ham,0.09754029661417007,175950,0,Edimilson Fernandes,2017,0,61,AMC,7128,2,Manchester United,0.09925299882888794,0
