date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2018-05-13,0.0,0,0,0.5383539795875549,5,Leicester,240109,0,Adrien Silva,2017,4,90,DMC,7490,0.0,0.5383539795875549,0,Tottenham,0.0,0
2018-05-09,0.088823601603508,1,0,0.8184970021247864,3,Arsenal,238683,0,Adrien Silva,2017,1,90,MC,7422,0.1452530026435852,0.6318039894104004,3,Leicester,0.088823601603508,0
2018-05-05,0.030669499188661575,1,0,0.08522369712591171,0,West Ham,237520,0,Adrien Silva,2017,2,90,AMC,7479,0.020168699324131012,0.04934220016002655,2,Leicester,0.030669499188661575,0
2018-04-28,0.0,0,0,0.0,5,Leicester,235765,0,Adrien Silva,2017,0,43,Sub,7470,0.0,0.0,0,Crystal Palace,0.0,0
2018-04-19,0.040256399661302567,0,0,0.15586799383163452,0,Southampton,233880,0,Adrien Silva,2017,0,90,MC,7464,0.0,0.15586799383163452,2,Leicester,0.040256399661302567,0
2018-04-14,0.03691999986767769,3,0,1.479699969291687,2,Leicester,232030,0,Adrien Silva,2017,1,90,MC,7449,0.46040600538253784,0.991221010684967,2,Burnley,0.03691999986767769,0
2018-04-07,0.01648790016770363,0,0,0.8330780267715454,1,Newcastle United,230379,0,Adrien Silva,2017,2,90,DMC,7444,0.0,0.8165900111198425,1,Leicester,0.01648790016770363,0
2018-03-03,0.028435399755835533,0,0,0.057800501585006714,1,Bournemouth,220918,0,Adrien Silva,2017,1,62,MC,7402,0.0,0.02936520054936409,1,Leicester,0.028435399755835533,0
2018-02-10,0.0,0,0,0.0,5,Leicester,215151,0,Adrien Silva,2017,1,47,MC,7382,0.0,0.0,0,Manchester City,0.0,0
2018-02-03,0.0,0,0,0.4797550141811371,1,Swansea,214917,0,Adrien Silva,2017,1,70,MC,7374,0.0,0.4797550141811371,0,Leicester,0.0,0
2018-01-20,0.0,1,0,0.2644810080528259,2,Watford,209152,1,Adrien Silva,2017,0,1,Sub,7353,0.2644810080528259,0.0,0,Leicester,0.0,0
2018-01-01,0.0,0,0,0.0,3,Huddersfield,206447,0,Adrien Silva,2017,0,2,Sub,7334,0.0,0.0,0,Leicester,0.0,0
