date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-02-04,0,0,0,0.7014539837837219,0,3,Liverpool,0,573257,0,João Moutinho,2022,0,26,Sub,18421,0,Wolverhampton Wanderers,0.7014539837837219,0
2023-01-22,0.017034700140357018,1,0,0,0.012866100296378136,3,Wolverhampton Wanderers,0.017034700140357018,570595,0,João Moutinho,2022,0,41,Sub,18409,1,Manchester City,0,0
2023-01-14,0.04039030149579048,2,0,0.09035789966583252,0.08627589792013168,1,West Ham,0.04039030149579048,568810,0,João Moutinho,2022,0,74,MC,18401,1,Wolverhampton Wanderers,0.049967698752880096,0
2023-01-04,0,2,0,0,0.10440400242805481,1,Wolverhampton Wanderers,0,567530,1,João Moutinho,2022,1,61,AMC,18383,0,Aston Villa,0,0
2022-12-31,0.10922499746084213,1,0,0.19646699726581573,0.055421698838472366,0,Manchester United,0.10922499746084213,566323,0,João Moutinho,2022,1,74,MC,18381,1,Wolverhampton Wanderers,0.03181999921798706,0
2022-12-26,0,1,0,0,0.4180780053138733,1,Wolverhampton Wanderers,0,565554,1,João Moutinho,2022,2,79,MC,18367,0,Everton,0,0
2022-11-12,0,0,0,0,0,0,Arsenal,0,564786,0,João Moutinho,2022,2,70,MC,18361,0,Wolverhampton Wanderers,0,0
2022-11-05,0,0,0,0.032698798924684525,0,2,Brighton,0,561948,0,João Moutinho,2022,3,90,MC,18351,0,Wolverhampton Wanderers,0.032698798924684525,0
2022-10-29,0.014984400011599064,2,0,0.11068300157785416,0.09204509854316711,1,Wolverhampton Wanderers,0.014984400011599064,560130,0,João Moutinho,2022,1,50,Sub,18334,1,Brentford,0.018637599423527718,0
2022-10-23,0.039221301674842834,5,0,0.6496260166168213,0.5134249925613403,0,Leicester,0.039221301674842834,558874,0,João Moutinho,2022,4,82,DMC,18331,2,Wolverhampton Wanderers,0.6387119889259338,0
2022-10-18,0.058497000485658646,0,0,0.17027400434017181,0,2,Wolverhampton Wanderers,0.058497000485658646,557393,0,João Moutinho,2022,1,28,Sub,18318,1,Crystal Palace,0.11177700012922287,0
2022-10-15,0,2,0,0.25140801072120667,0.15560899674892426,1,Nottingham Forest,0,555934,0,João Moutinho,2022,0,83,DMC,18311,0,Wolverhampton Wanderers,0.18582099676132202,0
2022-10-08,0.12057500332593918,2,0,0.2798230051994324,0.2407280057668686,3,Wolverhampton Wanderers,0.12057500332593918,554171,0,João Moutinho,2022,0,90,DMC,18295,1,Chelsea,0.2798230051994324,0
2022-10-01,0,1,0,0.27556800842285156,0.05358169972896576,2,Wolverhampton Wanderers,0,552628,0,João Moutinho,2022,0,90,MC,18291,0,West Ham,0.22198599576950073,0
2022-09-17,0.04950930178165436,0,0,0.05430079996585846,0,0,Manchester City,0.04950930178165436,550433,0,João Moutinho,2022,3,90,MC,18274,1,Wolverhampton Wanderers,0.05430079996585846,0
2022-09-03,0,0,0,0.055912598967552185,0,1,Southampton,0,547190,0,João Moutinho,2022,0,90,MC,18256,0,Wolverhampton Wanderers,0.055912598967552185,0
2022-08-31,0.21556800603866577,3,0,0.6875370144844055,0.0983617976307869,0,Wolverhampton Wanderers,0.21556800603866577,546301,0,João Moutinho,2022,0,90,MC,18248,2,Bournemouth,0.6157360076904297,0
2022-08-28,0.020406799390912056,1,0,0.05267639830708504,0.05267639830708504,1,Newcastle United,0.020406799390912056,545084,0,João Moutinho,2022,1,90,MC,18240,1,Wolverhampton Wanderers,0,0
2022-08-20,0,4,0,0.26973000168800354,0.14565600454807281,1,Wolverhampton Wanderers,0,542142,0,João Moutinho,2022,0,60,MC,18222,0,Tottenham,0.1648849993944168,0
