date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-05,0.02303289994597435,0,0,0.15227200090885162,1,Manchester United,330804,0,Nemanja Matic,2018,1,55,MC,9561,0.0,0.15227200090885162,1,Huddersfield,0.02303289994597435,0
2019-04-28,0.0,0,0,0.4593360126018524,1,Chelsea,329163,0,Nemanja Matic,2018,1,90,MC,9550,0.0,0.4593360126018524,0,Manchester United,0.0,0
2019-04-21,0.06599000096321106,0,0,0.23993000388145447,4,Manchester United,326581,0,Nemanja Matic,2018,0,90,MC,9542,0.0,0.1739400029182434,1,Everton,0.06599000096321106,0
2019-03-30,0.0,0,0,0.08165190368890762,2,Watford,317837,0,Nemanja Matic,2018,1,90,MC,9509,0.0,0.08165190368890762,0,Manchester United,0.0,0
2019-03-10,0.0,0,0,0.49331599473953247,2,Manchester United,315365,0,Nemanja Matic,2018,0,83,MC,9496,0.0,0.49331599473953247,0,Arsenal,0.0,0
2019-02-09,0.0,1,0,0.07728859782218933,0,Manchester United,304456,0,Nemanja Matic,2018,3,90,MC,9447,0.02832210063934326,0.07728859782218933,0,Fulham,0.0,0
2019-02-03,0.0,0,0,0.6930080056190491,0,Manchester United,304345,0,Nemanja Matic,2018,1,90,DMC,9440,0.0,0.6930080056190491,0,Leicester,0.0,0
2019-01-29,0.034958500415086746,1,0,0.11743199825286865,2,Burnley,303977,0,Nemanja Matic,2018,2,90,DMC,9432,0.02026209980249405,0.09716960042715073,2,Manchester United,0.034958500415086746,0
2019-01-19,0.0,2,0,0.8811789751052856,2,Brighton,303679,0,Nemanja Matic,2018,1,90,MC,9421,0.12740400433540344,0.8811789751052856,0,Manchester United,0.0,0
2019-01-13,0.0,0,0,0.08323200047016144,0,Manchester United,303553,0,Nemanja Matic,2018,1,90,DMC,9408,0.0,0.08323200047016144,0,Tottenham,0.0,0
2019-01-02,0.0,0,0,0.13135799765586853,0,Manchester United,303280,0,Nemanja Matic,2018,2,90,DMC,9399,0.0,0.13135799765586853,0,Newcastle United,0.0,0
2018-12-30,0.0,1,0,2.9235100746154785,4,Bournemouth,291647,0,Nemanja Matic,2018,1,90,DMC,9390,0.06393659859895706,2.859570026397705,0,Manchester United,0.0,0
2018-12-26,0.7647690176963806,1,1,0.6330400109291077,3,Huddersfield,279063,0,Nemanja Matic,2018,1,90,DMC,9380,0.10017000138759613,0.5328699946403503,1,Manchester United,0.7647690176963806,1
2018-12-22,0.05334550142288208,0,0,0.5373420119285583,1,Manchester United,278965,0,Nemanja Matic,2018,5,90,MC,9374,0.0,0.5373420119285583,1,Cardiff,0.05334550142288208,0
2018-12-16,0.0,1,0,0.08929669857025146,3,Manchester United,278717,0,Nemanja Matic,2018,1,90,MC,9362,0.01886639930307865,0.07043030112981796,0,Liverpool,0.0,0
2018-12-08,0.0,0,0,0.30060601234436035,4,Fulham,278229,0,Nemanja Matic,2018,1,90,DMC,9349,0.0,0.30060601234436035,0,Manchester United,0.0,0
2018-12-05,0.0,0,0,0.016770999878644943,2,Arsenal,278117,0,Nemanja Matic,2018,2,90,MC,9344,0.0,0.016770999878644943,0,Manchester United,0.0,0
2018-12-01,0.0,1,0,0.2426290065050125,2,Manchester United,277822,0,Nemanja Matic,2018,2,90,DC,9327,0.07244870066642761,0.170181006193161,0,Southampton,0.0,0
2018-11-24,0.026121800765395164,0,0,0.3349260091781616,0,Crystal Palace,277427,0,Nemanja Matic,2018,0,90,MC,9319,0.0,0.3088040053844452,1,Manchester United,0.026121800765395164,0
2018-11-11,0.062406398355960846,2,0,0.02364189922809601,3,Manchester United,277330,0,Nemanja Matic,2018,1,90,MC,9315,0.0708082988858223,0.02364189922809601,1,Manchester City,0.062406398355960846,0
2018-11-03,0.0,0,0,0.6593499779701233,1,Manchester United,276831,0,Nemanja Matic,2018,2,90,MC,9297,0.0,0.6593499779701233,0,Bournemouth,0.0,0
2018-10-28,0.0,1,0,0.150627002120018,2,Everton,276761,0,Nemanja Matic,2018,1,90,MC,9287,0.018068499863147736,0.13255800306797028,0,Manchester United,0.0,0
2018-10-20,0.0,1,0,0.02551559917628765,2,Manchester United,276277,0,Nemanja Matic,2018,2,90,DMC,9277,0.02551559917628765,0.0,0,Chelsea,0.0,0
2018-10-06,0.5436210036277771,0,0,0.10541100054979324,3,Newcastle United,276154,0,Nemanja Matic,2018,2,90,MC,9273,0.0,0.10541100054979324,2,Manchester United,0.5436210036277771,0
2018-09-29,0.0,0,0,0.5019279718399048,3,Manchester United,260560,0,Nemanja Matic,2018,1,90,MC,9257,0.0,0.5019279718399048,0,West Ham,0.0,0
2018-09-15,0.0,0,0,0.5886200070381165,1,Manchester United,260009,0,Nemanja Matic,2018,2,90,MC,9243,0.0,0.5886200070381165,0,Watford,0.0,0
2018-09-02,0.02309500053524971,0,0,0.8907449841499329,0,Manchester United,259538,0,Nemanja Matic,2018,2,90,MC,9232,0.0,0.8907449841499329,1,Burnley,0.02309500053524971,0
2018-08-27,0.1133819967508316,1,0,0.35374099016189575,0,Tottenham,259360,0,Nemanja Matic,2018,3,62,MC,9226,0.0190069992095232,0.2213509976863861,1,Manchester United,0.1133819967508316,0
