date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-03-02,0,0,0,0.08743830025196075,0,2,Cardiff,0,305253,0,Sol Bamba,2018,0,46,DC,9477,0,Wolverhampton Wanderers,0.08743830025196075,0
2019-02-26,0,0,0,0.040165700018405914,0,0,Everton,0,304991,0,Sol Bamba,2018,3,90,DC,9469,0,Cardiff,0.040165700018405914,0
2019-02-22,0.6787030100822449,0,1,0.05794230103492737,0,1,Watford,0.6787030100822449,304742,0,Sol Bamba,2018,5,90,DC,9463,3,Cardiff,0.009149190038442612,1
2019-02-09,0.76009601354599,0,1,0,0,1,Cardiff,0.76009601354599,304536,0,Sol Bamba,2018,2,90,DC,9453,1,Southampton,0,1
2019-02-02,0,1,0,0.058854300528764725,0.058854300528764725,2,Bournemouth,0,304301,0,Sol Bamba,2018,0,90,DC,9444,0,Cardiff,0,0
2019-01-29,0.04190560057759285,0,0,0.14693400263786316,0,2,Cardiff,0.04190560057759285,303878,0,Sol Bamba,2018,1,90,DC,9431,1,Arsenal,0.10502800345420837,0
2019-01-19,0,0,0,0,0,3,Cardiff,0,303768,0,Sol Bamba,2018,0,90,DC,9420,0,Newcastle United,0,0
2019-01-12,0,0,0,0,0,0,Huddersfield,0,303430,0,Sol Bamba,2018,0,90,DC,9414,0,Cardiff,0,0
2019-01-01,0,0,0,0.04611770063638687,0,0,Tottenham,0,303102,0,Sol Bamba,2018,3,90,DC,9404,0,Cardiff,0.04611770063638687,0
2018-12-29,0,0,0,0,0,0,Cardiff,0,291413,0,Sol Bamba,2018,1,90,DC,9392,0,Leicester,0,0
2018-12-26,0,0,0,0.4251289963722229,0,0,Cardiff,0,279128,0,Sol Bamba,2018,0,90,DC,9384,0,Crystal Palace,0.4251289963722229,0
2018-12-22,0.16028699278831482,0,0,0.058205101639032364,0,1,Manchester United,0.16028699278831482,278948,0,Sol Bamba,2018,5,90,DC,9374,2,Cardiff,0.058205101639032364,0
2018-12-15,0.08669109642505646,1,0,0.10637400299310684,0.019683100283145905,3,Cardiff,0.08669109642505646,278519,0,Sol Bamba,2018,2,90,DC,9358,1,Watford,0,0
2018-12-08,0,0,0,0,0,1,Southampton,0,278255,0,Sol Bamba,2018,0,90,DC,9353,0,Cardiff,0,0
2018-12-04,0,0,0,0,0,3,Cardiff,0,277962,0,Sol Bamba,2018,1,90,DC,9340,0,West Ham,0,0
2018-11-30,0,0,0,0.042764998972415924,0,2,Wolverhampton Wanderers,0,277643,0,Sol Bamba,2018,1,90,DC,9335,0,Cardiff,0.042764998972415924,0
2018-11-24,0.08356879651546478,0,0,0,0,1,Cardiff,0.08356879651546478,277492,0,Sol Bamba,2018,0,90,DC,9321,1,Everton,0,0
2018-11-10,0.8789849877357483,0,1,1.0083800554275513,0,2,Brighton,0.8789849877357483,277091,0,Sol Bamba,2018,1,90,DC,9307,2,Cardiff,0.12939800322055817,1
2018-11-03,0.1817989945411682,0,0,0,0,0,Leicester,0.1817989945411682,276925,0,Sol Bamba,2018,1,90,DC,9302,3,Cardiff,0,0
2018-10-27,0,0,0,0,0,4,Cardiff,0,276549,0,Sol Bamba,2018,1,90,DC,9288,0,Liverpool,0,0
2018-10-20,0,2,0,0.1339319944381714,0.06474959850311279,4,Fulham,0,276398,1,Sol Bamba,2018,2,90,DC,9282,0,Cardiff,0.0958544984459877,0
2018-10-06,0.013681299984455109,0,0,0.2653999924659729,0,1,Cardiff,0.013681299984455109,276053,0,Sol Bamba,2018,0,90,DC,9269,1,Tottenham,0.2653999924659729,0
2018-09-30,0.05807989835739136,0,0,0.24631600081920624,0,1,Burnley,0.05807989835739136,260376,0,Sol Bamba,2018,2,90,DC,9265,1,Cardiff,0.18823599815368652,0
2018-09-15,0.699517011642456,0,1,0.03539250046014786,0,4,Cardiff,0.699517011642456,259813,0,Sol Bamba,2018,1,90,DC,9241,2,Chelsea,0.03539250046014786,1
2018-09-02,0.02418760024011135,0,0,0.05103849992156029,0,2,Arsenal,0.02418760024011135,259548,0,Sol Bamba,2018,3,90,DC,9235,1,Cardiff,0.026850899681448936,0
2018-08-25,0.04740710183978081,0,0,0.04740710183978081,0,0,Cardiff,0.04740710183978081,259313,0,Sol Bamba,2018,0,90,DC,9219,2,Huddersfield,0,0
2018-08-18,0.4065380096435547,0,0,0,0,0,Newcastle United,0.4065380096435547,258992,0,Sol Bamba,2018,0,90,DC,9207,1,Cardiff,0,0
2018-08-11,0,0,0,0.11462800204753876,0,2,Cardiff,0,258701,0,Sol Bamba,2018,0,90,DMC,9202,0,Bournemouth,0.11462800204753876,0
