date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0,2,0,0.9378939867019653,0.04920240119099617,5,Leicester,0,240094,1,Danny Rose,2017,4,90,DL,7490,0,Tottenham,0.8886910080909729,0
2018-05-09,0.2772519886493683,0,0,0.2772519886493683,0,1,Newcastle United,0.2772519886493683,238745,0,Danny Rose,2017,0,2,Sub,7427,1,Tottenham,0,0
2018-05-05,0.024047300219535828,2,0,0.17848199605941772,0.10971699655056,1,Tottenham,0.024047300219535828,237586,0,Danny Rose,2017,0,90,DML,7483,1,West Bromwich Albion,0.06876520067453384,0
2018-04-07,0,0,0,0,0,1,Tottenham,0,230448,0,Danny Rose,2017,2,90,DL,7446,0,Stoke,0,0
2018-03-11,0.025826899334788322,0,0,0.44935500621795654,0,1,Tottenham,0.025826899334788322,223253,0,Danny Rose,2017,4,83,DL,7410,1,Bournemouth,0.4235279858112335,0
2017-12-26,0,1,0,0.8838379979133606,0.10455600172281265,5,Southampton,0,205556,0,Danny Rose,2017,2,90,DL,7316,0,Tottenham,0.7792819738388062,0
2017-12-16,0.020602600648999214,0,0,0.04072650149464607,0,4,Tottenham,0.020602600648999214,202658,0,Danny Rose,2017,1,90,DL,7298,1,Manchester City,0.020123900845646858,0
2017-12-13,0.10052900016307831,2,0,0.3727700114250183,0.11581099778413773,2,Brighton,0.10052900016307831,203061,0,Danny Rose,2017,0,90,DL,7288,1,Tottenham,0.2192630022764206,0
2017-11-28,0,2,0,0.33387601375579834,0.11654099822044373,2,Tottenham,0,178921,0,Danny Rose,2017,1,90,DML,7249,0,Leicester,0.27672699093818665,0
2017-11-05,0.20561499893665314,1,0,0.22067999839782715,0.05345369875431061,1,Crystal Palace,0.20561499893665314,179399,0,Danny Rose,2017,0,90,DML,7226,2,Tottenham,0.02490070089697838,0
