date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0,0,0,0.4851030111312866,0,1,Bournemouth,0,240172,0,Dan Gosling,2017,2,30,Sub,7492,0,Burnley,0.4851030111312866,0
2018-05-05,0.09347560256719589,0,0,0.09347560256719589,0,1,Swansea,0.09347560256719589,237607,0,Dan Gosling,2017,0,11,Sub,7488,1,Bournemouth,0,0
2018-04-28,0,0,0,0.07782729715108871,0,2,Bournemouth,0,235843,0,Dan Gosling,2017,1,75,MC,7475,0,Southampton,0.07782729715108871,0
2018-04-18,0.020155400037765503,0,0,0.03330890089273453,0,0,Manchester United,0.020155400037765503,233524,0,Dan Gosling,2017,2,14,Sub,7463,1,Bournemouth,0.03330890089273453,0
2018-04-14,0.3799169957637787,0,0,0.42001599073410034,0,3,Bournemouth,0.3799169957637787,232282,0,Dan Gosling,2017,0,90,MC,7452,1,Liverpool,0.04009870067238808,0
2018-04-07,0.1300860047340393,1,0,0.21097800135612488,0.015183599665760994,2,Crystal Palace,0.1300860047340393,230273,0,Dan Gosling,2017,2,90,MC,7440,1,Bournemouth,0.06570769846439362,0
2018-03-31,0,1,0,0.15821300446987152,0.05005120113492012,2,Bournemouth,0,226938,0,Dan Gosling,2017,2,90,MC,7437,0,Watford,0.10816100239753723,0
2018-03-17,0.05119509994983673,1,0,0.18839100003242493,0.0680558979511261,2,West Bromwich Albion,0.05119509994983673,223934,0,Dan Gosling,2017,1,90,MC,7419,1,Bournemouth,0.06914050132036209,0
2018-03-11,0.10787399858236313,1,0,0.8213520050048828,0.04844680055975914,1,Tottenham,0.10787399858236313,223241,0,Dan Gosling,2017,4,90,MC,7410,2,Bournemouth,0.73744797706604,0
2018-03-03,0,1,0,0.0858537033200264,0.020972400903701782,1,Bournemouth,0,220932,0,Dan Gosling,2017,1,90,MC,7402,0,Leicester,0.0858537033200264,0
2018-02-24,0.638185977935791,1,1,0.7557669878005981,0.027510499581694603,2,Newcastle United,0.638185977935791,219104,0,Dan Gosling,2017,2,90,MC,7390,3,Bournemouth,0.09007090330123901,1
2018-02-11,0,0,0,0.013945600017905235,0,4,Bournemouth,0,215122,0,Dan Gosling,2017,1,90,MC,7381,0,Huddersfield,0.013945600017905235,0
2018-02-03,0.06323309987783432,2,0,0.6776300072669983,0.09813950210809708,2,Stoke,0.06323309987783432,214811,0,Dan Gosling,2017,1,90,MC,7370,1,Bournemouth,0.5162569880485535,0
2018-01-31,0,0,0,0.09705950319766998,0,0,Bournemouth,0,215425,0,Dan Gosling,2017,3,90,MC,7362,0,Chelsea,0.09705950319766998,0
2018-01-20,0.015584000386297703,0,0,0.025124400854110718,0,1,Bournemouth,0.015584000386297703,209245,0,Dan Gosling,2017,1,90,MC,7358,1,West Ham,0.009540339931845665,0
2018-01-14,0.019491400569677353,3,0,0.33139199018478394,0.2280379980802536,2,Arsenal,0.019491400569677353,208128,0,Dan Gosling,2017,1,90,MC,7339,1,Bournemouth,0.2059590071439743,0
2018-01-01,0.031421199440956116,1,0,0.06588950008153915,0.06588950008153915,2,Bournemouth,0.031421199440956116,206407,0,Dan Gosling,2017,2,18,Sub,7331,1,Brighton,0,0
2017-12-30,0.0502409003674984,3,0,0.24384699761867523,0.11744099855422974,2,Everton,0.0502409003674984,206194,0,Dan Gosling,2017,1,90,MC,7319,1,Bournemouth,0.18182699382305145,0
2017-12-26,0.3850269913673401,1,1,0.2327059954404831,0.1131410002708435,3,West Ham,0.3850269913673401,205587,1,Dan Gosling,2017,3,90,MC,7309,4,Bournemouth,0.12133599817752838,1
2017-12-23,0.0679045021533966,0,0,0.14009499549865723,0,4,Bournemouth,0.0679045021533966,203106,0,Dan Gosling,2017,0,90,MC,7308,1,Manchester City,0.07219059765338898,0
2017-12-13,0.13886600732803345,1,0,0.2982499897480011,0.06068069860339165,1,Bournemouth,0.13886600732803345,202882,0,Dan Gosling,2017,0,79,MC,7283,2,Manchester United,0.17558600008487701,0
2017-11-25,0,0,0,0.0781627967953682,0,0,Bournemouth,0,179696,0,Dan Gosling,2017,0,1,Sub,7240,0,Swansea,0.0781627967953682,0
2017-11-18,0,0,0,0,0,4,Huddersfield,0,179655,0,Dan Gosling,2017,0,1,Sub,7237,0,Bournemouth,0,0
2017-10-14,0,0,0,0.05875299870967865,0,1,Bournemouth,0,179858,0,Dan Gosling,2017,0,90,FW,7197,0,Tottenham,0.05875299870967865,0
2017-09-23,0.07412339746952057,1,0,0.16916200518608093,0.032864101231098175,2,Bournemouth,0.07412339746952057,177025,0,Dan Gosling,2017,1,90,MC,7175,1,Everton,0.06217470020055771,0
2017-09-15,0,0,0,0,0,2,Brighton,0,177623,0,Dan Gosling,2017,1,1,Sub,7159,0,Bournemouth,0,0
2017-09-09,0,0,0,0.09618669748306274,0,3,Bournemouth,0,176752,0,Dan Gosling,2017,0,90,MC,7152,0,Arsenal,0.09618669748306274,0
2017-08-26,0,0,0,0.10938099771738052,0,1,Manchester City,0,176902,0,Dan Gosling,2017,2,90,MC,7139,0,Bournemouth,0.10938099771738052,0
