date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.14961199462413788,3,0,0.36587199568748474,0,Stoke,125335,0,Oriol Romeu,2016,1,90,DMC,3517,0.18268899619579315,0.3319219946861267,2,Southampton,0.14961199462413788,0
2017-05-17,0.11526799947023392,1,0,0.22631600499153137,0,Manchester United,132950,0,Oriol Romeu,2016,0,90,MC,3412,0.06699559837579727,0.15932099521160126,2,Southampton,0.11526799947023392,0
2017-05-13,0.021344300359487534,0,0,0.36090800166130066,1,Southampton,135333,0,Oriol Romeu,2016,2,90,MC,3504,0.0,0.3395639955997467,1,Middlesbrough,0.021344300359487534,0
2017-05-10,0.0,1,0,0.9945039749145508,0,Arsenal,131935,0,Oriol Romeu,2016,2,90,DMC,3390,0.06408599764108658,0.9304180145263672,0,Southampton,0.0,0
2017-05-07,0.010481099598109722,0,0,0.010481099598109722,0,Southampton,135027,0,Oriol Romeu,2016,0,90,MC,3496,0.0,0.0,1,Liverpool,0.010481099598109722,0
2017-04-29,0.0,0,0,0.0,0,Hull,134461,0,Oriol Romeu,2016,0,90,DMC,3484,0.0,0.0,0,Southampton,0.0,0
2017-04-25,0.9002349972724915,0,1,0.05758550018072128,4,Southampton,134173,0,Oriol Romeu,2016,2,90,DMC,3473,0.0,0.04565479978919029,2,Chelsea,0.9002349972724915,1
2017-04-05,0.047963399440050125,1,0,1.5374300479888916,3,Crystal Palace,132817,0,Oriol Romeu,2016,1,90,DMC,3447,0.009064599871635437,1.5001499652862549,2,Southampton,0.047963399440050125,0
2017-04-01,0.0,0,0,0.19523200392723083,0,Bournemouth,132978,0,Oriol Romeu,2016,0,90,DMC,3437,0.0,0.19523200392723083,0,Southampton,0.0,0
2017-03-19,0.011577700264751911,0,0,0.6010940074920654,2,Southampton,133839,0,Oriol Romeu,2016,1,90,DMC,3422,0.0,0.5895159840583801,1,Tottenham,0.011577700264751911,0
2017-03-04,0.02666959911584854,0,0,0.26040899753570557,3,Southampton,133455,0,Oriol Romeu,2016,4,90,DMC,3407,0.0,0.2337390035390854,1,Watford,0.02666959911584854,0
2017-02-11,0.0,1,0,0.9359899759292603,0,Southampton,131170,0,Oriol Romeu,2016,4,90,DMC,3384,0.041449401527643204,0.8945410251617432,0,Sunderland,0.0,0
2017-02-04,0.0,1,0,0.2613399922847748,1,West Ham,129949,0,Oriol Romeu,2016,3,90,MC,3376,0.05242060124874115,0.2089190036058426,0,Southampton,0.0,0
2017-01-31,0.018590200692415237,1,0,0.615011990070343,2,Southampton,132277,0,Oriol Romeu,2016,1,90,MC,3365,0.025284800678491592,0.596422016620636,1,Swansea,0.018590200692415237,0
2017-01-22,0.01742669939994812,1,0,0.1607619971036911,3,Leicester,131881,0,Oriol Romeu,2016,0,90,MC,3357,0.03657830134034157,0.10675700008869171,1,Southampton,0.01742669939994812,0
2017-01-14,0.0,0,0,0.06206990033388138,1,Southampton,130211,0,Oriol Romeu,2016,0,90,MC,3345,0.0,0.06206990033388138,0,Burnley,0.0,0
2017-01-02,0.13624800741672516,0,0,0.017918599769473076,3,Southampton,129355,0,Oriol Romeu,2016,0,90,MC,3331,0.0,0.0,2,Everton,0.13624800741672516,0
2016-12-31,0.0,0,0,0.0,1,West Bromwich Albion,130767,0,Oriol Romeu,2016,2,90,MC,3160,0.0,0.0,0,Southampton,0.0,0
2016-12-28,0.0,1,0,0.02690950036048889,1,Tottenham,129675,0,Oriol Romeu,2016,4,90,MC,3154,0.02690950036048889,0.0,0,Southampton,0.0,0
2016-12-15,0.0,2,0,0.1330769956111908,0,Southampton,131420,0,Oriol Romeu,2016,0,90,DMC,3133,0.049334000796079636,0.08374260365962982,0,Stoke,0.0,0
2016-12-11,0.022898400202393532,0,0,0.20832400023937225,1,Middlesbrough,130251,0,Oriol Romeu,2016,0,90,MC,3123,0.0,0.18542499840259552,1,Southampton,0.022898400202393532,0
2016-12-03,0.0,0,0,0.30014699697494507,3,Southampton,128418,0,Oriol Romeu,2016,0,90,MC,3106,0.0,0.30014699697494507,0,Crystal Palace,0.0,0
2016-11-27,0.0,0,0,0.40559399127960205,1,Everton,128185,0,Oriol Romeu,2016,0,90,MC,2715,0.0,0.40559399127960205,0,Southampton,0.0,0
2016-11-19,0.0,0,0,0.033402398228645325,0,Liverpool,128515,0,Oriol Romeu,2016,0,90,MC,2698,0.0,0.033402398228645325,0,Southampton,0.0,0
2016-11-06,0.015533099882304668,0,0,0.4021199941635132,2,Southampton,128474,0,Oriol Romeu,2016,1,90,MC,2694,0.0,0.3865860104560852,1,Hull,0.015533099882304668,0
2016-10-30,0.03826570138335228,0,0,0.17141300439834595,0,Chelsea,127741,0,Oriol Romeu,2016,2,90,DMC,2685,0.0,0.1331470012664795,2,Southampton,0.03826570138335228,0
2016-10-23,0.0,1,0,0.04255840182304382,1,Southampton,127369,0,Oriol Romeu,2016,1,90,MC,549,0.04255840182304382,0.04255840182304382,0,Manchester City,0.0,0
2016-10-16,0.04156289994716644,1,0,0.7261130213737488,3,Burnley,126889,0,Oriol Romeu,2016,1,90,DMC,539,0.5477830171585083,0.6845499873161316,2,Southampton,0.04156289994716644,0
2016-10-02,0.01385829970240593,0,0,0.3082900047302246,0,Southampton,127174,0,Oriol Romeu,2016,0,90,DMC,528,0.0,0.29443201422691345,1,Leicester,0.01385829970240593,0
2016-09-25,0.0,0,0,0.7220199704170227,0,Southampton,126792,0,Oriol Romeu,2016,3,90,DMC,519,0.0,0.7220199704170227,0,West Ham,0.0,0
2016-09-18,0.1448799967765808,0,0,0.25456300377845764,1,Swansea,126415,0,Oriol Romeu,2016,0,90,DMC,509,0.0,0.25456300377845764,2,Southampton,0.1448799967765808,0
2016-09-10,0.0187865998595953,1,0,0.38823598623275757,2,Southampton,125987,0,Oriol Romeu,2016,1,90,MC,494,0.012923800386488438,0.3565259873867035,1,Arsenal,0.0187865998595953,0
2016-08-27,0.04003709927201271,1,0,0.3801650106906891,1,Sunderland,125861,0,Oriol Romeu,2016,1,90,DMC,484,0.020066499710083008,0.3200620114803314,1,Southampton,0.04003709927201271,0
2016-08-19,0.0,0,0,0.0,2,Southampton,125487,0,Oriol Romeu,2016,0,11,DMC,471,0.0,0.0,0,Manchester United,0.0,0
2016-08-13,0.019803699105978012,0,0,0.18624700605869293,1,Watford,125115,0,Oriol Romeu,2016,1,90,DMC,466,0.0,0.16644300520420074,1,Southampton,0.019803699105978012,0
