date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.0,0,0,0.026930099353194237,1,Tottenham,125234,0,Hugo Lloris,2016,7,90,GK,3513,0.0,0.026930099353194237,0,Hull,0.0,0
2017-05-18,0.0,0,0,0.7562670111656189,1,Tottenham,134224,0,Hugo Lloris,2016,6,90,GK,3475,0.0,0.7562670111656189,0,Leicester,0.0,0
2017-05-14,0.0,0,0,0.017446499317884445,2,Manchester United,133875,0,Hugo Lloris,2016,1,90,GK,3507,0.0,0.017446499317884445,0,Tottenham,0.0,0
2017-05-05,0.0,0,0,0.0,1,Tottenham,135187,0,Hugo Lloris,2016,0,90,GK,3499,0.0,0.0,0,West Ham,0.0,0
2017-04-30,0.0,0,0,0.0,2,Arsenal,134537,0,Hugo Lloris,2016,0,90,GK,3487,0.0,0.0,0,Tottenham,0.0,0
2017-04-26,0.0,0,0,0.07924939692020416,0,Tottenham,132493,0,Hugo Lloris,2016,1,90,GK,3415,0.0,0.07924939692020416,0,Crystal Palace,0.0,0
2017-04-15,0.0,0,0,0.2845419943332672,4,Bournemouth,134923,0,Hugo Lloris,2016,0,90,GK,3465,0.0,0.2845419943332672,0,Tottenham,0.0,0
2017-04-08,0.0,1,0,0.24187399446964264,4,Watford,133792,0,Hugo Lloris,2016,0,90,GK,3453,0.02072479948401451,0.2211489975452423,0,Tottenham,0.0,0
2017-04-01,0.0,0,0,0.0818810984492302,0,Tottenham,132437,0,Hugo Lloris,2016,2,90,GK,3431,0.0,0.0818810984492302,0,Burnley,0.0,0
2017-03-19,0.0,0,0,0.0,2,Southampton,133820,0,Hugo Lloris,2016,1,90,GK,3422,0.0,0.0,0,Tottenham,0.0,0
2017-03-05,0.0,0,0,0.09137870371341705,3,Everton,133328,0,Hugo Lloris,2016,2,90,GK,3406,0.0,0.09137870371341705,0,Tottenham,0.0,0
2017-02-26,0.0,0,0,0.1817069947719574,4,Stoke,131986,0,Hugo Lloris,2016,0,90,GK,3397,0.0,0.1817069947719574,0,Tottenham,0.0,0
2017-02-11,0.0,0,0,0.022120900452136993,2,Tottenham,130724,0,Hugo Lloris,2016,0,90,GK,3386,0.0,0.022120900452136993,0,Liverpool,0.0,0
2017-02-04,0.0,0,0,0.3045789897441864,1,Middlesbrough,130051,0,Hugo Lloris,2016,0,90,GK,3377,0.0,0.3045789897441864,0,Tottenham,0.0,0
2017-01-21,0.0,0,0,0.0,2,Tottenham,131722,0,Hugo Lloris,2016,2,90,GK,3356,0.0,0.0,0,Manchester City,0.0,0
2017-01-14,0.0,0,0,0.13133999705314636,4,West Bromwich Albion,130957,0,Hugo Lloris,2016,0,90,GK,3340,0.0,0.13133999705314636,0,Tottenham,0.0,0
2017-01-05,0.0,0,0,0.0,2,Chelsea,129861,0,Hugo Lloris,2016,0,90,GK,3339,0.0,0.0,0,Tottenham,0.0,0
2017-01-01,0.0,0,0,0.022579099982976913,1,Tottenham,130999,0,Hugo Lloris,2016,4,90,GK,3328,0.0,0.022579099982976913,0,Watford,0.0,0
2016-12-28,0.0,0,0,0.0,1,Tottenham,129683,0,Hugo Lloris,2016,4,90,GK,3154,0.0,0.0,0,Southampton,0.0,0
2016-12-18,0.0,0,0,0.0717983990907669,2,Burnley,128782,0,Hugo Lloris,2016,1,90,GK,3143,0.0,0.0717983990907669,0,Tottenham,0.0,0
2016-12-15,0.0,1,0,0.4451099932193756,3,Hull,131484,0,Hugo Lloris,2016,0,90,GK,3134,0.023919900879263878,0.4211899936199188,0,Tottenham,0.0,0
2016-12-11,0.0,0,0,0.023586099967360497,1,Tottenham,130149,0,Hugo Lloris,2016,0,90,GK,3122,0.0,0.023586099967360497,0,Manchester United,0.0,0
2016-12-03,0.0,0,0,0.10649199783802032,5,Swansea,128893,0,Hugo Lloris,2016,0,90,GK,3109,0.0,0.10649199783802032,0,Tottenham,0.0,0
2016-11-26,0.0,0,0,0.09509799629449844,2,Tottenham,129183,0,Hugo Lloris,2016,1,90,GK,2712,0.0,0.09509799629449844,0,Chelsea,0.0,0
2016-11-19,0.0,0,0,0.0,3,West Ham,128754,0,Hugo Lloris,2016,2,90,GK,2704,0.0,0.0,0,Tottenham,0.0,0
2016-11-06,0.0,0,0,0.0,1,Tottenham,127916,0,Hugo Lloris,2016,1,90,GK,2692,0.0,0.0,0,Arsenal,0.0,0
2016-10-29,0.0,0,0,0.025952499359846115,1,Leicester,127820,0,Hugo Lloris,2016,1,90,GK,2678,0.0,0.025952499359846115,0,Tottenham,0.0,0
2016-10-22,0.0,0,0,0.05765470117330551,0,Tottenham,127032,0,Hugo Lloris,2016,0,90,GK,541,0.0,0.05765470117330551,0,Bournemouth,0.0,0
2016-10-15,0.0,0,0,0.4937269985675812,1,Tottenham,126953,0,Hugo Lloris,2016,1,90,GK,536,0.0,0.4937269985675812,0,West Bromwich Albion,0.0,0
2016-10-02,0.0,0,0,0.0,2,Manchester City,127377,0,Hugo Lloris,2016,0,90,GK,529,0.0,0.0,0,Tottenham,0.0,0
2016-09-24,0.0,0,0,0.1236179992556572,1,Tottenham,126675,0,Hugo Lloris,2016,2,90,GK,512,0.0,0.1236179992556572,0,Middlesbrough,0.0,0
2016-09-18,0.0,0,0,0.2844269871711731,1,Sunderland,126438,0,Hugo Lloris,2016,0,90,GK,510,0.0,0.2844269871711731,0,Tottenham,0.0,0
2016-09-10,0.0,0,0,0.19096800684928894,0,Tottenham,126148,0,Hugo Lloris,2016,4,90,GK,493,0.0,0.19096800684928894,0,Stoke,0.0,0
2016-08-13,0.0,0,0,0.0,1,Tottenham,125018,0,Hugo Lloris,2016,1,34,GK,463,0.0,0.0,0,Everton,0.0,0
