date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2020-07-26,0.1617940068244934,1,0,0.20286299288272858,3,Watford,411214,0,Reiss Nelson,2019,2,13,Sub,12014,0.04106910154223442,0.1617940068244934,1,Arsenal,0.1617940068244934,0
2020-07-15,0.36156201362609863,0,1,0.36156201362609863,2,Liverpool,408845,0,Reiss Nelson,2019,1,60,FWR,11993,0.0,0.0,1,Arsenal,0.36156201362609863,1
2020-07-12,0.0,0,0,0.0,2,Arsenal,408013,0,Reiss Nelson,2019,1,4,Sub,11990,0.0,0.0,0,Tottenham,0.0,0
2020-07-01,0.0,3,0,0.0,4,Norwich,404413,0,Reiss Nelson,2019,0,60,FWR,11953,0.1468839943408966,0.0,0,Arsenal,0.0,0
2020-06-20,0.0,0,0,0.0,2,Arsenal,401295,0,Reiss Nelson,2019,1,1,Sub,11941,0.0,0.0,0,Brighton,0.0,0
2020-06-17,0.0,0,0,0.0,3,Arsenal,400566,0,Reiss Nelson,2019,0,20,Sub,11917,0.0,0.0,0,Manchester City,0.0,0
2020-03-07,0.06645330041646957,0,0,0.09200110286474228,1,West Ham,387765,0,Reiss Nelson,2019,0,20,Sub,11923,0.0,0.025547899305820465,1,Arsenal,0.06645330041646957,0
2020-01-11,0.0,0,0,0.0,1,Arsenal,385793,0,Reiss Nelson,2019,1,1,Sub,11859,0.0,0.0,0,Crystal Palace,0.0,0
2020-01-01,0.10720899701118469,0,0,0.10720899701118469,2,Manchester United,385696,0,Reiss Nelson,2019,0,27,Sub,11844,0.0,0.0,1,Arsenal,0.10720899701118469,0
2019-12-29,0.0,0,0,0.0,1,Chelsea,372870,0,Reiss Nelson,2019,2,90,AMR,11833,0.0,0.0,0,Arsenal,0.0,0
2019-12-26,0.2283959984779358,1,0,0.5190799832344055,1,Arsenal,372442,0,Reiss Nelson,2019,1,83,AMR,11824,0.10856600105762482,0.2906840145587921,3,Bournemouth,0.2283959984779358,0
2019-12-21,0.0,1,0,0.08561179786920547,0,Arsenal,371253,0,Reiss Nelson,2019,0,90,AMR,11816,0.01336320023983717,0.08561179786920547,0,Everton,0.0,0
2019-12-09,0.0,0,0,0.0,1,Arsenal,369436,0,Reiss Nelson,2019,3,1,Sub,11802,0.0,0.0,0,West Ham,0.0,0
2019-09-30,0.06910890340805054,0,0,0.06910890340805054,1,Arsenal,355800,0,Reiss Nelson,2019,1,14,Sub,11712,0.0,0.0,1,Manchester United,0.06910890340805054,0
2019-09-15,0.09325899928808212,0,0,0.09325899928808212,2,Arsenal,349872,0,Reiss Nelson,2019,2,17,Sub,11691,0.0,0.0,1,Watford,0.09325899928808212,0
2019-08-17,0.18580499291419983,1,0,0.2010660022497177,2,Burnley,341767,0,Reiss Nelson,2019,1,47,AML,11653,0.015260599553585052,0.0,2,Arsenal,0.18580499291419983,0
2019-08-11,0.0,2,0,0.1962510049343109,0,Arsenal,341533,0,Reiss Nelson,2019,1,73,AML,11650,0.037792500108480453,0.1962510049343109,0,Newcastle United,0.0,0
