date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-07-26,0,0,0,0,0,2,Wolverhampton Wanderers,0,411273,0,Callum Hudson-Odoi,2019,0,7,Sub,12021,0,Chelsea,0,0
2020-07-22,0,1,0,0.7569379806518555,0.05774009972810745,5,Chelsea,0,410865,1,Callum Hudson-Odoi,2019,3,28,Sub,12006,0,Liverpool,0.6991980075836182,0
2020-07-14,0,0,0,0.14071500301361084,0,1,Norwich,0,408482,0,Callum Hudson-Odoi,2019,0,6,Sub,11995,0,Chelsea,0.14071500301361084,0
2020-07-11,0,1,0,0.08967509865760803,0.08967509865760803,3,Chelsea,0,407531,0,Callum Hudson-Odoi,2019,0,13,Sub,11989,0,Sheffield United,0,0
2020-07-04,0,0,0,0.4534650146961212,0,3,Watford,0,405463,0,Callum Hudson-Odoi,2019,0,11,Sub,11964,0,Chelsea,0.4534650146961212,0
2020-02-01,0.05686299875378609,0,0,0.05686299875378609,0,2,Chelsea,0.05686299875378609,386598,0,Callum Hudson-Odoi,2019,2,90,AMR,11886,1,Leicester,0,0
2020-01-21,0.03625220060348511,2,0,0.6876530051231384,0.5070250034332275,2,Arsenal,0.03625220060348511,386425,1,Callum Hudson-Odoi,2019,2,90,FWR,11881,1,Chelsea,0.6876530051231384,0
2020-01-18,0.026803499087691307,2,0,1.2711700201034546,0.48833999037742615,1,Chelsea,0.026803499087691307,386220,0,Callum Hudson-Odoi,2019,0,90,FWR,11868,1,Newcastle United,0.7560229897499084,0
2020-01-11,0.659775972366333,3,1,1.4166200160980225,0.22294700145721436,3,Burnley,0.659775972366333,385912,0,Callum Hudson-Odoi,2019,0,90,FWR,11858,1,Chelsea,0.6888049840927124,1
2020-01-01,0.1949779987335205,0,0,0.1949779987335205,0,1,Chelsea,0.1949779987335205,385492,0,Callum Hudson-Odoi,2019,1,21,Sub,11845,3,Brighton,0,0
2019-12-29,0.014022599905729294,0,0,0.014022599905729294,0,1,Chelsea,0.014022599905729294,372889,0,Callum Hudson-Odoi,2019,2,15,Sub,11833,1,Arsenal,0,0
2019-12-26,0.14176200330257416,1,0,0.12214899808168411,0.18797999620437622,0,Southampton,0.14176200330257416,372458,0,Callum Hudson-Odoi,2019,2,69,AMC,11825,3,Chelsea,0,0
2019-12-14,0,0,0,0.06121150031685829,0,0,Bournemouth,0,369754,0,Callum Hudson-Odoi,2019,1,23,Sub,11805,0,Chelsea,0.06121150031685829,0
2019-12-07,0.03766399994492531,0,0,0.06567200273275375,0,3,Chelsea,0.03766399994492531,368133,0,Callum Hudson-Odoi,2019,1,17,Sub,11796,1,Everton,0.028008000925183296,0
2019-12-04,0.14660699665546417,0,0,0.14660699665546417,0,2,Aston Villa,0.14660699665546417,367677,0,Callum Hudson-Odoi,2019,1,2,Sub,11789,2,Chelsea,0,0
2019-11-30,0.02441290020942688,0,0,0.04260990023612976,0,0,West Ham,0.02441290020942688,366191,0,Callum Hudson-Odoi,2019,1,17,Sub,11774,1,Chelsea,0.018196899443864822,0
2019-11-09,0.04068969935178757,0,0,0.04068969935178757,0,2,Crystal Palace,0.04068969935178757,362898,0,Callum Hudson-Odoi,2019,0,6,Sub,11754,1,Chelsea,0,0
2019-11-02,0,0,0,0.12382999807596207,0,1,Chelsea,0,361774,0,Callum Hudson-Odoi,2019,2,6,Sub,11751,0,Watford,0.12382999807596207,0
2019-10-26,0.03697710111737251,1,0,0,0.020164500921964645,2,Chelsea,0.03697710111737251,359611,0,Callum Hudson-Odoi,2019,4,17,Sub,11735,1,Burnley,0,0
2019-10-19,0.1299850046634674,5,0,0.7322739958763123,0.8355479836463928,1,Newcastle United,0.1299850046634674,357790,1,Callum Hudson-Odoi,2019,0,90,FWL,11725,2,Chelsea,0.12686200439929962,0
2019-10-06,0.46834900975227356,3,0,0.7195929884910583,0.18814699351787567,1,Chelsea,0.46834900975227356,356882,1,Callum Hudson-Odoi,2019,4,82,AML,11718,2,Southampton,0.06309709697961807,0
2019-09-28,0,1,0,0.11060100048780441,0.11060100048780441,2,Brighton,0,354622,1,Callum Hudson-Odoi,2019,0,26,Sub,11708,0,Chelsea,0,0
