date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-05-23,0.64581298828125,0,1,0.7239630222320557,5,Everton,473399,0,Phil Foden,2020,0,58,MC,14811,0.0,0.07814989984035492,2,Manchester City,0.64581298828125,1
2021-05-18,0.24833500385284424,1,1,0.7989370226860046,3,Manchester City,472371,0,Phil Foden,2020,2,90,FWL,14795,0.034638501703739166,0.5506020188331604,2,Brighton,0.24833500385284424,1
2021-05-08,0.08190769702196121,0,0,0.08190769702196121,1,Chelsea,468851,0,Phil Foden,2020,2,17,Sub,14781,0.0,0.0,1,Manchester City,0.08190769702196121,0
2021-04-21,0.6044260263442993,3,1,0.7777100205421448,1,Manchester City,464726,0,Phil Foden,2020,2,90,FWL,14746,0.1478559970855713,0.2878119945526123,3,Aston Villa,0.6044260263442993,1
2021-04-10,0.0,1,0,0.44991299510002136,1,Leeds,460946,0,Phil Foden,2020,2,11,Sub,14740,0.014291100203990936,0.44991299510002136,0,Manchester City,0.0,0
2021-04-03,0.0,0,0,0.0,0,Manchester City,459881,0,Phil Foden,2020,2,1,Sub,14730,0.0,0.0,0,Leicester,0.0,0
2021-03-10,0.32345399260520935,3,0,1.497380018234253,5,Southampton,455767,2,Phil Foden,2020,2,90,FWL,14761,0.6497550010681152,0.5428529977798462,4,Manchester City,0.32345399260520935,0
2021-03-07,0.10381100326776505,0,0,0.12473300099372864,0,Manchester United,455287,0,Phil Foden,2020,2,19,Sub,14700,0.0,0.12473300099372864,1,Manchester City,0.10381100326776505,0
2021-02-27,0.0,1,0,0.0,2,West Ham,452022,0,Phil Foden,2020,1,24,Sub,14689,0.06005629897117615,0.0,0,Manchester City,0.0,0
2021-02-17,0.1629139930009842,1,1,0.1403229981660843,1,Manchester City,450273,0,Phil Foden,2020,3,90,MC,14593,0.05658869817852974,0.03580690175294876,3,Everton,0.1629139930009842,1
2021-02-13,0.02534719929099083,3,0,0.667343020439148,3,Tottenham,449175,0,Phil Foden,2020,0,90,FWR,14671,0.2879739999771118,0.5231369733810425,1,Manchester City,0.02534719929099083,0
2021-02-07,0.577688992023468,1,1,0.577688992023468,1,Manchester City,448458,1,Phil Foden,2020,4,90,FW,14659,0.9639760255813599,0.0,2,Liverpool,0.577688992023468,1
2021-01-30,0.0,2,0,0.44657498598098755,1,Sheffield United,445633,0,Phil Foden,2020,0,90,FWL,14642,0.4104909896850586,0.0627226009964943,0,Manchester City,0.0,0
2021-01-26,0.19547300040721893,2,0,0.4147930145263672,0,Manchester City,445058,0,Phil Foden,2020,5,55,FWL,14629,0.08356860280036926,0.13575200736522675,2,West Bromwich Albion,0.19547300040721893,0
2021-01-20,0.4014680087566376,6,0,0.7971330285072327,2,Aston Villa,443428,0,Phil Foden,2020,0,90,FWL,14089,0.33260300755500793,0.33539900183677673,5,Manchester City,0.4014680087566376,0
2021-01-17,0.0,0,0,0.02068440057337284,4,Crystal Palace,442930,0,Phil Foden,2020,0,29,Sub,14621,0.0,0.02068440057337284,0,Manchester City,0.0,0
2021-01-13,0.14382700622081757,2,1,1.1727999448776245,1,Brighton,441912,0,Phil Foden,2020,0,83,FWL,14614,0.157491996884346,1.0153000354766846,2,Manchester City,0.14382700622081757,1
2021-01-03,0.7856569886207581,4,1,1.9778800010681152,1,Manchester City,439720,1,Phil Foden,2020,3,88,AML,14603,0.8229029774665833,0.566025972366333,3,Chelsea,0.7856569886207581,1
2020-12-26,0.0,0,0,0.0,2,Newcastle United,438197,0,Phil Foden,2020,0,1,Sub,14581,0.0,0.0,0,Manchester City,0.0,0
2020-12-15,0.13197100162506104,2,0,0.40569499135017395,1,West Bromwich Albion,434448,0,Phil Foden,2020,1,77,AML,14564,0.05386989936232567,0.2737239897251129,2,Manchester City,0.13197100162506104,0
2020-11-28,0.09024660289287567,1,0,0.6695060133934021,5,Burnley,429621,1,Phil Foden,2020,0,21,Sub,14533,0.4780539870262146,0.10120599716901779,1,Manchester City,0.09024660289287567,0
2020-11-21,0.0,0,0,0.030169999226927757,2,Manchester City,428170,0,Phil Foden,2020,0,16,Sub,14523,0.0,0.030169999226927757,0,Tottenham,0.0,0
2020-10-31,0.0,0,0,0.055502600967884064,0,Manchester City,424247,0,Phil Foden,2020,1,9,Sub,14502,0.0,0.055502600967884064,0,Sheffield United,0.0,0
2020-10-24,0.09612619876861572,0,1,0.09612619876861572,1,Manchester City,422635,0,Phil Foden,2020,1,43,Sub,14493,0.0,0.0,2,West Ham,0.09612619876861572,1
2020-10-17,0.7508270144462585,0,0,0.7378249764442444,1,Arsenal,421374,0,Phil Foden,2020,0,90,ML,14480,0.0,0.020185500383377075,4,Manchester City,0.7508270144462585,0
2020-10-03,0.21062999963760376,2,0,0.5695819854736328,1,Manchester City,419653,0,Phil Foden,2020,1,90,MC,14469,0.1266610026359558,0.2479269951581955,3,Leeds,0.21062999963760376,0
2020-09-27,0.0,0,0,0.0,2,Leicester,418254,0,Phil Foden,2020,5,64,AML,14112,0.0,0.0,0,Manchester City,0.0,0
2020-09-21,0.5034700036048889,1,1,0.600875973701477,1,Manchester City,417001,0,Phil Foden,2020,3,90,AMR,14105,0.0685025006532669,0.028903799131512642,2,Wolverhampton Wanderers,0.5034700036048889,1
