date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-05-23,0.9326940178871155,1,0,0.3670789897441864,3,West Bromwich Albion,473320,0,Patrick Bamford,2020,1,43,Sub,14808,0.02822040021419525,0.1945199966430664,3,Leeds,0.1715259999036789,1
2021-05-18,0.8535159826278687,1,1,1.0360300540924072,0,Leeds,472343,0,Patrick Bamford,2020,2,90,FW,14802,0.10955899953842163,0.07295279949903488,3,Southampton,0.8535159826278687,1
2021-05-15,0.041496701538562775,0,0,0.041496701538562775,0,Leeds,470691,0,Patrick Bamford,2020,4,60,FW,14786,0.0,0.0,1,Burnley,0.041496701538562775,0
2021-05-08,0.7582489848136902,2,1,0.9594830274581909,3,Tottenham,468396,0,Patrick Bamford,2020,1,80,FW,14778,0.09327500313520432,0.10795900225639343,2,Leeds,0.7582489848136902,1
2021-05-01,0.0,0,0,0.0,2,Leeds,466967,0,Patrick Bamford,2020,0,60,FW,14765,0.0,0.0,0,Brighton,0.0,0
2021-04-25,0.0,2,0,0.10386200249195099,0,Manchester United,466016,0,Patrick Bamford,2020,0,90,FW,14758,0.10386200249195099,0.0946815013885498,0,Leeds,0.0,0
2021-04-19,0.9725090265274048,0,0,0.737758994102478,1,Liverpool,463985,0,Patrick Bamford,2020,1,90,FW,14749,0.0,0.0,5,Leeds,0.9725090265274048,0
2021-04-10,0.0,1,0,0.06275539845228195,1,Leeds,460957,1,Patrick Bamford,2020,2,47,FW,14740,0.06275539845228195,0.0,0,Manchester City,0.0,0
2021-04-03,0.3702070116996765,3,0,0.5926859974861145,2,Sheffield United,459654,0,Patrick Bamford,2020,1,69,FW,14729,0.2537989914417267,0.02631540037691593,2,Leeds,0.3702070116996765,0
2021-03-19,0.5305569767951965,1,1,0.9891149997711182,1,Leeds,457870,1,Patrick Bamford,2020,2,81,FW,14718,0.45855799317359924,0.0,2,Fulham,0.5305569767951965,1
2021-03-13,0.0,1,0,0.040747400373220444,0,Chelsea,456098,0,Patrick Bamford,2020,0,34,FW,14709,0.040747400373220444,0.040747400373220444,0,Leeds,0.0,0
2021-03-08,0.8346189856529236,1,0,0.9677969813346863,2,Leeds,455628,0,Patrick Bamford,2020,0,90,FW,14704,0.014148199930787086,0.1331769973039627,5,West Ham,0.8346189856529236,0
2021-02-27,0.09888970106840134,0,0,0.11558599770069122,0,Aston Villa,452508,0,Patrick Bamford,2020,1,90,FW,14691,0.0,0.0664483979344368,2,Leeds,0.09888970106840134,0
2021-02-23,0.4572939872741699,1,1,1.1244100332260132,3,Southampton,451756,0,Patrick Bamford,2020,0,90,FW,14608,0.11203400045633316,0.5550860166549683,2,Leeds,0.4572939872741699,1
2021-02-19,0.13651299476623535,0,0,0.1957309991121292,1,Leeds,450396,0,Patrick Bamford,2020,0,90,FW,14684,0.0,0.1191520020365715,2,Wolverhampton Wanderers,0.13651299476623535,0
2021-02-14,0.05294869840145111,1,0,0.06459440290927887,4,Leeds,449809,0,Patrick Bamford,2020,2,90,FW,14665,0.011645699851214886,0.0,1,Arsenal,0.05294869840145111,0
2021-02-08,1.013550043106079,0,1,1.1425199508666992,2,Crystal Palace,448683,0,Patrick Bamford,2020,0,90,FW,14658,0.0,0.12896600365638733,5,Leeds,1.013550043106079,1
2021-02-03,0.22943399846553802,3,0,0.39410701394081116,1,Everton,447014,1,Patrick Bamford,2020,2,90,FW,14648,0.16467300057411194,0.057521600276231766,4,Leeds,0.22943399846553802,0
2021-01-31,0.367233008146286,3,1,1.5373400449752808,1,Leeds,446135,2,Patrick Bamford,2020,3,90,FW,14643,1.3075300455093384,0.0,2,Leicester,0.367233008146286,1
2021-01-26,0.09861390292644501,0,0,0.20409299433231354,1,Leeds,444974,0,Patrick Bamford,2020,2,65,FW,14631,0.0,0.20409299433231354,1,Newcastle United,0.09861390292644501,0
2021-01-16,0.0,1,0,0.06527529656887054,0,Brighton,442309,0,Patrick Bamford,2020,1,90,FW,14618,0.06527529656887054,0.0,0,Leeds,0.0,0
2021-01-02,0.6609629988670349,0,0,0.7474480271339417,3,Leeds,438920,0,Patrick Bamford,2020,0,90,FW,14599,0.0,0.15878300368785858,7,Tottenham,0.6609629988670349,0
2020-12-29,0.5402569770812988,1,0,1.008579969406128,0,Leeds,438481,1,Patrick Bamford,2020,5,90,FW,14590,0.46832001209259033,0.0,4,West Bromwich Albion,0.5402569770812988,0
2020-12-27,0.8071569800376892,0,0,0.5115360021591187,1,Burnley,438222,0,Patrick Bamford,2020,0,90,FW,14578,0.0,0.46554800868034363,2,Leeds,0.0459882989525795,1
2020-12-20,0.5187280178070068,0,0,0.5187280178070068,6,Leeds,436869,0,Patrick Bamford,2020,2,90,FW,14570,0.0,0.0,3,Manchester United,0.5187280178070068,0
2020-12-16,0.71983802318573,1,1,1.3994499444961548,5,Newcastle United,434650,0,Patrick Bamford,2020,2,85,FW,14558,0.046243101358413696,0.6333659887313843,3,Leeds,0.71983802318573,1
2020-12-11,0.24674899876117706,0,0,0.13819099962711334,1,West Ham,432678,0,Patrick Bamford,2020,2,75,FW,14548,0.0,0.0,3,Leeds,0.24674899876117706,0
2020-12-05,0.6893759965896606,0,1,0.7194799780845642,3,Leeds,431626,0,Patrick Bamford,2020,1,90,FW,14538,0.0,0.030104199424386024,3,Chelsea,0.6893759965896606,1
2020-11-28,0.8106619715690613,2,0,0.8981389999389648,0,Leeds,429871,0,Patrick Bamford,2020,1,90,FW,14531,0.08747699856758118,0.0,6,Everton,0.8106619715690613,0
2020-11-22,1.0268499851226807,0,0,1.0268499851226807,0,Arsenal,428830,0,Patrick Bamford,2020,0,90,FW,14518,0.0,0.0,5,Leeds,1.0268499851226807,0
2020-11-07,0.45719701051712036,0,1,0.45719701051712036,4,Leeds,426334,0,Patrick Bamford,2020,1,90,FW,14508,0.0,0.0,2,Crystal Palace,0.45719701051712036,1
2020-11-02,1.598449945449829,0,0,1.598449945449829,1,Leicester,425728,0,Patrick Bamford,2020,4,90,FW,14498,0.0,0.0,4,Leeds,1.598449945449829,0
2020-10-23,1.002619981765747,2,3,1.4471100568771362,0,Leeds,422514,0,Patrick Bamford,2020,3,90,FW,14486,0.17602400481700897,0.4157019853591919,9,Aston Villa,1.002619981765747,3
2020-10-19,0.18855899572372437,0,0,0.1341249942779541,0,Wolverhampton Wanderers,422412,0,Patrick Bamford,2020,1,90,FW,14478,0.0,0.027691900730133057,3,Leeds,0.18855899572372437,0
2020-10-03,0.5319880247116089,0,0,1.0397100448608398,1,Manchester City,419642,0,Patrick Bamford,2020,1,90,FW,14469,0.0,0.5077199935913086,4,Leeds,0.5319880247116089,0
2020-09-27,0.6920660138130188,1,1,0.7176460027694702,0,Leeds,417874,0,Patrick Bamford,2020,1,90,FW,14110,0.05031979829072952,0.09126029908657074,4,Sheffield United,0.6920660138130188,1
2020-09-19,0.09100160002708435,1,1,0.21878400444984436,4,Fulham,415789,1,Patrick Bamford,2020,3,72,FW,14097,0.12778200209140778,0.0,1,Leeds,0.09100160002708435,1
2020-09-12,0.07107680290937424,0,1,0.07107680290937424,4,Leeds,414697,0,Patrick Bamford,2020,3,64,FW,14090,0.0,0.0,2,Liverpool,0.07107680290937424,1
