date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-03-12,0.018155500292778015,0,0,0.5287560224533081,0,0,Arsenal,0.018155500292778015,582036,0,William Saliba,2022,3,90,DC,18465,1,Fulham,0.5105999708175659,0
2023-03-04,0,2,0,0.20059999823570251,0.15438799560070038,3,Bournemouth,0,579605,0,William Saliba,2022,2,90,DC,18452,0,Arsenal,0.13428600132465363,0
2023-03-01,0,0,0,1.559499979019165,0,4,Everton,0,578938,0,William Saliba,2022,0,90,DC,18269,0,Arsenal,1.559499979019165,0
2023-02-25,0,0,0,0.21074700355529785,0,0,Arsenal,0,577875,0,William Saliba,2022,1,90,DC,18447,0,Leicester,0.21074700355529785,0
2023-02-18,0,0,0,0.427931010723114,0,2,Arsenal,0,576120,0,William Saliba,2022,4,90,DC,18432,0,Aston Villa,0.427931010723114,0
2023-02-15,0,0,0,0.2767919898033142,0,1,Manchester City,0,575920,0,William Saliba,2022,3,90,DC,18312,0,Arsenal,0.2767919898033142,0
2023-02-11,0,0,0,0.2495660036802292,0,1,Brentford,0,574786,0,William Saliba,2022,1,90,DC,18422,0,Arsenal,0.2495660036802292,0
2023-02-04,0,1,0,0.11260700225830078,0.016065100207924843,1,Arsenal,0,572979,0,William Saliba,2022,0,90,DC,18416,0,Everton,0.09654179960489273,0
2023-01-22,0,0,0,0.4713059961795807,0,3,Manchester United,0,570723,0,William Saliba,2022,2,90,DC,18402,0,Arsenal,0.4713059961795807,0
2023-01-15,0,0,0,0.22633500397205353,0,0,Arsenal,0,569584,0,William Saliba,2022,2,90,DC,18400,0,Tottenham,0.22633500397205353,0
2023-01-03,0,0,0,0.26703599095344543,0,0,Newcastle United,0,567020,0,William Saliba,2022,0,90,DC,18382,0,Arsenal,0.26703599095344543,0
2022-12-31,0.08014989644289017,0,0,0.12310200184583664,0,2,Arsenal,0.08014989644289017,566580,0,William Saliba,2022,4,90,DC,18373,1,Brighton,0.12310200184583664,0
2022-12-26,0.46709299087524414,0,0,0.20214900374412537,0,3,West Ham,0.46709299087524414,565630,0,William Saliba,2022,1,90,DC,18362,1,Arsenal,0.20214900374412537,0
2022-11-12,0,0,0,0,0,0,Arsenal,0,564796,0,William Saliba,2022,2,90,DC,18361,0,Wolverhampton Wanderers,0,0
2022-11-06,0,0,0,0.43309199810028076,0,0,Arsenal,0,562362,0,William Saliba,2022,1,90,DC,18343,0,Chelsea,0.43309199810028076,0
2022-10-30,0,1,0,0.26919400691986084,0.037171099334955215,5,Nottingham Forest,0,560749,0,William Saliba,2022,0,78,DC,18332,0,Arsenal,0.23202300071716309,0
2022-10-23,0,0,0,0.2940019965171814,0,1,Arsenal,0,558858,0,William Saliba,2022,1,90,DC,18328,0,Southampton,0.2940019965171814,0
2022-10-16,0,0,0,0.048957500606775284,0,0,Arsenal,0,556775,0,William Saliba,2022,1,90,DC,18305,0,Leeds,0.048957500606775284,0
2022-10-09,0,0,0,0.5620049834251404,0,3,Liverpool,0,555080,0,William Saliba,2022,2,90,DC,18292,0,Arsenal,0.5620049834251404,0
2022-10-01,0,0,0,0.39329299330711365,0,3,Tottenham,0,551992,0,William Saliba,2022,1,90,DC,18282,0,Arsenal,0.39329299330711365,0
2022-09-18,0.0840706005692482,0,1,0.7351229786872864,0,0,Arsenal,0.0840706005692482,551055,0,William Saliba,2022,3,90,DC,18280,1,Brentford,0.7351229786872864,1
2022-09-04,0.08795969933271408,0,0,0.4516200125217438,0,3,Arsenal,0.08795969933271408,548107,0,William Saliba,2022,1,90,DC,18261,1,Manchester United,0.4516200125217438,0
2022-08-31,0,1,0,0.6921960115432739,0.07133840024471283,2,Aston Villa,0,546256,0,William Saliba,2022,1,90,DC,18247,0,Arsenal,0.6208570003509521,0
2022-08-27,0,1,0,0.3087800145149231,0.8410509824752808,2,Fulham,0,544646,1,William Saliba,2022,1,90,DC,18238,0,Arsenal,0.3087800145149231,0
2022-08-20,0.08102679997682571,0,1,0.2561599910259247,0,0,Arsenal,0.08102679997682571,542565,0,William Saliba,2022,3,90,DC,18227,1,Bournemouth,0.2561599910259247,1
2022-08-13,0,0,0,0.3214159905910492,0,4,Leicester,0,540647,0,William Saliba,2022,2,90,DC,18217,0,Arsenal,0.3214159905910492,0
2022-08-05,0,0,0,0.07888689637184143,0,0,Arsenal,0,539140,0,William Saliba,2022,2,90,DC,18202,0,Crystal Palace,0.07888689637184143,0
