date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-28,0.0830758735537529,5,0,1.2575421333312988,1,Newcastle United,600933,0,Allan Saint-Maximin,2022,1,73,FWL,18575,0.5955641865730286,0.6658730506896973,1,Chelsea,0.0830758735537529,0
2023-05-22,0.0,1,0,0.1065911129117012,0,Leicester,599380,0,Allan Saint-Maximin,2022,0,19,Sub,18567,0.02978936955332756,0.07680174708366394,0,Newcastle United,0.0,0
2023-05-18,0.0,0,0,0.0,4,Brighton,597633,0,Allan Saint-Maximin,2022,1,1,Sub,18449,0.0,0.0,0,Newcastle United,0.0,0
2023-05-13,0.037787728011608124,0,0,0.037787728011608124,2,Newcastle United,596084,0,Allan Saint-Maximin,2022,2,15,Sub,18558,0.0,0.0,1,Leeds,0.037787728011608124,0
2023-05-07,0.019110722467303276,0,0,0.019110722467303276,0,Arsenal,595449,0,Allan Saint-Maximin,2022,2,6,Sub,18547,0.0,0.0,1,Newcastle United,0.019110722467303276,0
2023-04-05,0.10745300352573395,2,0,1.0768699645996094,1,Newcastle United,586117,1,Allan Saint-Maximin,2022,5,67,FWL,18268,0.7718769907951355,1.010409951210022,2,West Ham,0.10745300352573395,0
2023-04-02,0.032337598502635956,6,0,1.2033400535583496,2,Manchester United,585612,1,Allan Saint-Maximin,2022,0,69,FWL,18489,1.1289299726486206,0.10740199685096741,1,Newcastle United,0.032337598502635956,0
2023-03-17,0.0,0,0,0.0,1,Newcastle United,582694,0,Allan Saint-Maximin,2022,2,49,FWL,18479,0.0,0.0,0,Nottingham Forest,0.0,0
2023-03-12,0.07812400162220001,4,0,0.2966879904270172,2,Wolverhampton Wanderers,582154,0,Allan Saint-Maximin,2022,1,70,FWL,18469,0.30186399817466736,0.016962699592113495,2,Newcastle United,0.07812400162220001,0
2023-03-04,0.0,0,0,0.0,2,Newcastle United,579200,0,Allan Saint-Maximin,2022,0,26,Sub,18458,0.0,0.0,0,Manchester City,0.0,0
2023-02-18,0.16697199642658234,2,0,0.6068850159645081,0,Liverpool,576609,0,Allan Saint-Maximin,2022,2,90,FWL,18438,0.42181000113487244,0.018102599307894707,3,Newcastle United,0.16697199642658234,0
2023-02-11,0.05885640159249306,2,0,0.17653700709342957,1,Newcastle United,575049,0,Allan Saint-Maximin,2022,1,86,FWL,18423,0.10262899845838547,0.08305980265140533,2,Bournemouth,0.05885640159249306,0
2023-02-04,0.058867599815130234,0,0,0.058867599815130234,1,West Ham,573473,0,Allan Saint-Maximin,2022,1,71,FWL,18418,0.0,0.0,1,Newcastle United,0.058867599815130234,0
2023-01-21,0.11039499938488007,0,0,0.11039499938488007,0,Newcastle United,570346,0,Allan Saint-Maximin,2022,0,19,Sub,18404,0.0,0.0,1,Crystal Palace,0.11039499938488007,0
2023-01-15,0.07187460362911224,0,0,0.07187460362911224,1,Fulham,569299,0,Allan Saint-Maximin,2022,0,41,Sub,18398,0.0,0.0,1,Newcastle United,0.07187460362911224,0
2023-01-03,0.0,0,0,0.0,0,Newcastle United,567040,0,Allan Saint-Maximin,2022,0,1,Sub,18382,0.0,0.0,0,Arsenal,0.0,0
2022-12-31,0.0,1,0,0.08370310068130493,0,Leeds,566393,0,Allan Saint-Maximin,2022,0,24,Sub,18377,0.08370310068130493,0.0,0,Newcastle United,0.0,0
2022-12-26,0.0,0,0,0.0,0,Newcastle United,565530,0,Allan Saint-Maximin,2022,3,4,Sub,18369,0.0,0.0,0,Leicester,0.0,0
2022-11-06,0.0,1,0,0.019103899598121643,1,Newcastle United,562649,1,Allan Saint-Maximin,2022,4,12,Sub,18348,0.019103899598121643,0.0,0,Southampton,0.0,0
2022-10-29,0.0,0,0,0.0,4,Aston Villa,560081,0,Allan Saint-Maximin,2022,0,1,Sub,18341,0.0,0.0,0,Newcastle United,0.0,0
2022-10-08,0.0,0,0,0.0,5,Brentford,554098,0,Allan Saint-Maximin,2022,1,10,Sub,18299,0.0,0.0,0,Newcastle United,0.0,0
2022-08-28,0.2091190069913864,1,1,0.5549079775810242,1,Newcastle United,545102,0,Allan Saint-Maximin,2022,1,90,FWL,18240,0.077469602227211,0.2683199942111969,5,Wolverhampton Wanderers,0.2091190069913864,1
2022-08-21,0.21881000697612762,4,0,1.409209966659546,3,Manchester City,543271,2,Allan Saint-Maximin,2022,3,90,FWL,18230,1.1276400089263916,0.06276050209999084,3,Newcastle United,0.21881000697612762,0
2022-08-13,0.0,1,0,0.04148489981889725,0,Newcastle United,540697,0,Allan Saint-Maximin,2022,0,77,FWL,18213,0.04148489981889725,0.0,0,Brighton,0.0,0
2022-08-06,0.3583970069885254,1,0,1.1585400104522705,2,Nottingham Forest,539462,0,Allan Saint-Maximin,2022,0,90,FWL,18206,0.022272499278187752,0.9281280040740967,4,Newcastle United,0.3583970069885254,0
