date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-05-13,0,0,0,0,0,2,Bournemouth,0,596412,0,Joe Rothwell,2022,0,84,DMC,18556,0,Crystal Palace,0,0
2023-05-06,0,0,0,0.20967230200767517,0,1,Chelsea,0,594742,0,Joe Rothwell,2022,3,61,DMC,18542,0,Bournemouth,0.20967230200767517,0
2023-04-30,0,0,0,0.781927764415741,0,4,Leeds,0,592920,0,Joe Rothwell,2022,1,77,DMC,18533,0,Bournemouth,0.781927764415741,0
2023-04-27,0.04414970055222511,0,0,0.15538373589515686,0,0,Bournemouth,0.04414970055222511,591883,0,Joe Rothwell,2022,1,90,MC,18530,1,Southampton,0.11123403906822205,0
2023-04-23,0,1,0,0.038137804716825485,0.12172405421733856,0,West Ham,0,590796,0,Joe Rothwell,2022,4,49,MC,18513,0,Bournemouth,0.038137804716825485,0
2023-04-15,0,0,0,0.09890580177307129,0,2,Bournemouth,0,588532,0,Joe Rothwell,2022,3,90,MC,18509,0,Tottenham,0.09890580177307129,0
2023-04-08,0.0663084015250206,2,0,0.2450840026140213,0.2609499990940094,0,Bournemouth,0.0663084015250206,586826,0,Joe Rothwell,2022,1,61,DMC,18496,1,Leicester,0.2450840026140213,0
2023-04-01,0,0,0,0.13504700362682343,0,2,Fulham,0,584649,0,Joe Rothwell,2022,1,74,MC,18483,0,Bournemouth,0.13504700362682343,0
2023-03-18,0,0,0,0.044694699347019196,0,3,Bournemouth,0,583064,0,Joe Rothwell,2022,0,61,MC,18473,0,Aston Villa,0.044694699347019196,0
2023-03-11,0,0,0,0.06412000209093094,0,1,Liverpool,0,580922,0,Joe Rothwell,2022,0,90,MC,18462,0,Bournemouth,0.06412000209093094,0
2023-03-04,0,2,0,0.13123999536037445,0.575294017791748,3,Bournemouth,0,579625,1,Joe Rothwell,2022,2,74,MC,18452,0,Arsenal,0.13123999536037445,0
2023-02-25,0,0,0,0.033862899988889694,0,1,Manchester City,0,578086,0,Joe Rothwell,2022,4,30,Sub,18442,0,Bournemouth,0.033862899988889694,0
2023-02-18,0,0,0,0,0,0,Bournemouth,0,576379,0,Joe Rothwell,2022,1,43,Sub,18441,0,Wolverhampton Wanderers,0,0
2023-02-04,0,0,0,0.06413979828357697,0,1,Bournemouth,0,573335,0,Joe Rothwell,2022,0,21,Sub,18414,0,Brighton,0.06413979828357697,0
2023-01-21,0.03837050125002861,3,0,0.3509800136089325,0.24026800692081451,1,Nottingham Forest,0.03837050125002861,570239,0,Joe Rothwell,2022,1,80,MC,18403,1,Bournemouth,0.12455199658870697,0
2023-01-14,0,0,0,0.014573800377547741,0,2,Bournemouth,0,569045,0,Joe Rothwell,2022,0,8,Sub,18393,0,Brentford,0.014573800377547741,0
2023-01-03,0,0,0,0,0,3,Bournemouth,0,567103,0,Joe Rothwell,2022,0,4,Sub,18390,0,Manchester United,0,0
2022-12-31,0,0,0,0.03037259913980961,0,0,Crystal Palace,0,566482,0,Joe Rothwell,2022,2,18,Sub,18372,0,Bournemouth,0.03037259913980961,0
2022-11-05,0,0,0,0,0,4,Bournemouth,0,561879,0,Joe Rothwell,2022,3,1,Sub,18345,0,Leeds,0,0
2022-10-19,0,0,0,0,0,0,Southampton,0,557500,0,Joe Rothwell,2022,1,12,Sub,18313,0,Bournemouth,0,0
