date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-05-21,0.14820045232772827,0,0,0.14339329302310944,0,3,Leeds,0.14820045232772827,598693,0,Crysencio Summerville,2022,1,24,Sub,18570,3,West Ham,0.037911318242549896,0
2023-05-06,0,0,0,0,0,2,Leeds,0,594793,0,Crysencio Summerville,2022,1,22,Sub,18546,0,Manchester City,0,0
2023-04-30,0.08795218914747238,2,0,0.11758697032928467,0.047638457268476486,4,Leeds,0.08795218914747238,592938,0,Crysencio Summerville,2022,1,90,FWR,18533,1,Bournemouth,0.06994850933551788,0
2023-04-25,0,0,0,0,0,1,Leicester,0,591482,0,Crysencio Summerville,2022,1,59,Sub,18523,0,Leeds,0,0
2023-04-22,0.036274462938308716,1,0,0.27379855513572693,0.13907822966575623,2,Leeds,0.036274462938308716,589849,0,Crysencio Summerville,2022,1,90,AMR,18517,1,Fulham,0.1347203403711319,0
2023-04-17,0,2,0,0.12515699863433838,0.12515699863433838,1,Liverpool,0,589599,0,Crysencio Summerville,2022,6,22,Sub,18505,0,Leeds,0.10548300296068192,0
2023-04-04,0.038166701793670654,0,0,0.09410689771175385,0,2,Nottingham Forest,0.038166701793670654,586045,0,Crysencio Summerville,2022,1,14,Sub,18271,1,Leeds,0.09410689771175385,0
2023-04-01,0.11476299911737442,1,0,0.2092919945716858,0.0945293977856636,4,Leeds,0.11476299911737442,584786,0,Crysencio Summerville,2022,1,78,FWL,18482,2,Arsenal,0.05043569952249527,0
2023-03-18,0,1,0,0.3343999981880188,0.3343999981880188,2,Leeds,0,583133,1,Crysencio Summerville,2022,4,6,Sub,18481,0,Wolverhampton Wanderers,0,0
2023-03-11,0,2,0,0.024385500699281693,0.024385500699281693,2,Brighton,0,581264,0,Crysencio Summerville,2022,2,67,AMR,18466,0,Leeds,0,0
2023-03-04,0.04770129919052124,0,0,0.2030940055847168,0,1,Leeds,0.04770129919052124,579564,0,Crysencio Summerville,2022,0,90,AMR,18456,1,Chelsea,0.15539200603961945,0
2023-02-25,0.17533600330352783,0,0,0.2530510127544403,0,1,Southampton,0.17533600330352783,577838,0,Crysencio Summerville,2022,0,29,Sub,18446,2,Leeds,0.07771530002355576,0
2023-02-18,0.06505150347948074,0,0,0.0942590981721878,0,1,Leeds,0.06505150347948074,576436,0,Crysencio Summerville,2022,0,63,AMR,18436,1,Everton,0.02920749969780445,0
2023-02-12,0.6998419761657715,0,0,1.053760051727295,0,0,Manchester United,0.6998419761657715,575402,0,Crysencio Summerville,2022,2,90,AMR,18426,4,Leeds,0.3539220094680786,0
2023-02-08,0.0751447007060051,0,0,0.0751447007060051,0,2,Leeds,0.0751447007060051,574412,0,Crysencio Summerville,2022,2,83,Sub,18279,1,Manchester United,0,0
2023-02-05,0.017047299072146416,1,0,0.05954419821500778,0.05954419821500778,1,Leeds,0.017047299072146416,573854,0,Crysencio Summerville,2022,0,30,Sub,18419,1,Nottingham Forest,0,0
2023-01-04,0,1,0,0.352728009223938,0.352728009223938,2,West Ham,0,567424,1,Crysencio Summerville,2022,2,67,AML,18388,0,Leeds,0,0
2022-12-31,0,0,0,0,0,0,Leeds,0,566408,0,Crysencio Summerville,2022,0,18,Sub,18377,0,Newcastle United,0,0
2022-11-12,0.7785230278968811,0,1,0.830489993095398,0,4,Leeds,0.7785230278968811,564496,0,Crysencio Summerville,2022,3,90,AML,18359,3,Tottenham,0.08591260015964508,1
2022-11-05,0.625944972038269,4,1,0.9807130098342896,0.22445900738239288,4,Bournemouth,0.625944972038269,561861,0,Crysencio Summerville,2022,3,90,AML,18345,1,Leeds,0.18080000579357147,1
2022-10-29,0.09769900143146515,0,1,0.2015870064496994,0,1,Leeds,0.09769900143146515,560431,0,Crysencio Summerville,2022,2,90,AML,18339,2,Liverpool,0.10388799756765366,1
2022-10-23,0.3218440115451813,0,1,0.3218440115451813,0,2,Fulham,0.3218440115451813,558822,0,Crysencio Summerville,2022,3,24,Sub,18325,1,Leeds,0,1
2022-10-20,0.07730820029973984,1,0,0.0886147990822792,0.022221600636839867,2,Leeds,0.07730820029973984,557818,0,Crysencio Summerville,2022,0,90,AMR,18317,2,Leicester,0.022221600636839867,0
2022-10-16,0.10083600133657455,0,0,0.10083600133657455,0,0,Arsenal,0.10083600133657455,556768,0,Crysencio Summerville,2022,1,5,Sub,18305,1,Leeds,0,0
2022-10-09,0.051572900265455246,0,0,0.051572900265455246,0,2,Leeds,0.051572900265455246,554734,0,Crysencio Summerville,2022,1,23,Sub,18296,1,Crystal Palace,0,0
2022-10-02,0,0,0,0,0,0,Aston Villa,0,553302,0,Crysencio Summerville,2022,0,6,Sub,18286,0,Leeds,0,0
2022-09-03,0,0,0,0.07180889695882797,0,5,Leeds,0,547240,0,Crysencio Summerville,2022,2,28,Sub,18257,0,Brentford,0.07180889695882797,0
2022-08-06,0,0,0,0,0,2,Wolverhampton Wanderers,0,539436,0,Crysencio Summerville,2022,1,3,Sub,18205,0,Leeds,0,0
