date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-05-28,0,1,0,0.14313723146915436,0.03876791521906853,1,Bournemouth,0,600986,0,Lloyd Kelly,2022,0,90,DL,18577,0,Everton,0.14313723146915436,0
2023-05-20,0,0,0,0.5338948965072632,0,0,Manchester United,0,598089,0,Lloyd Kelly,2022,1,90,DL,18562,0,Bournemouth,0.5338948965072632,0
2023-05-13,0,0,0,0,0,2,Bournemouth,0,596409,0,Lloyd Kelly,2022,0,90,DC,18556,0,Crystal Palace,0,0
2023-05-06,0,1,0,0.06079868972301483,0.1233561709523201,1,Chelsea,0,594739,0,Lloyd Kelly,2022,3,90,DC,18542,0,Bournemouth,0.06079868972301483,0
2023-04-30,0,0,0,0.17826884984970093,0,4,Leeds,0,592917,0,Lloyd Kelly,2022,1,90,DC,18533,0,Bournemouth,0.17826884984970093,0
2023-04-27,0,0,0,0.19268982112407684,0,0,Bournemouth,0,591878,0,Lloyd Kelly,2022,1,90,DC,18530,0,Southampton,0.19268982112407684,0
2023-04-23,0,0,0,0.08994869142770767,0,0,West Ham,0,590791,0,Lloyd Kelly,2022,4,64,DC,18513,0,Bournemouth,0.08994869142770767,0
2023-04-15,0,1,0,0.04144439846277237,0.010928199626505375,2,Bournemouth,0,588527,0,Lloyd Kelly,2022,3,90,DC,18509,0,Tottenham,0.03051609918475151,0
2023-04-08,0.06118600070476532,0,0,0.11183100193738937,0,0,Bournemouth,0.06118600070476532,586824,0,Lloyd Kelly,2022,1,90,DL,18496,1,Leicester,0.11183100193738937,0
2023-04-04,0,0,0,0.07461360096931458,0,0,Brighton,0,586006,0,Lloyd Kelly,2022,2,90,DL,18266,0,Bournemouth,0.07461360096931458,0
2023-04-01,0,0,0,0.3441919982433319,0,2,Fulham,0,584646,0,Lloyd Kelly,2022,1,90,DL,18483,0,Bournemouth,0.3441919982433319,0
2023-03-18,0,1,0,0.19819900393486023,0.05369570106267929,3,Bournemouth,0,583061,0,Lloyd Kelly,2022,0,90,DL,18473,0,Aston Villa,0.14450299739837646,0
2023-03-11,0,0,0,0,0,1,Liverpool,0,580919,0,Lloyd Kelly,2022,0,90,DL,18462,0,Bournemouth,0,0
2023-01-21,0.0138392997905612,0,0,0,0,1,Nottingham Forest,0.0138392997905612,570235,0,Lloyd Kelly,2022,1,90,DC,18403,1,Bournemouth,0,0
2023-01-14,0,0,0,0.1060120016336441,0,2,Bournemouth,0,569038,0,Lloyd Kelly,2022,0,90,DL,18393,0,Brentford,0.1060120016336441,0
2023-01-03,0,0,0,0,0,3,Bournemouth,0,567095,0,Lloyd Kelly,2022,0,90,DL,18390,0,Manchester United,0,0
2022-12-31,0,0,0,0,0,0,Crystal Palace,0,566474,0,Lloyd Kelly,2022,2,90,DC,18372,0,Bournemouth,0,0
2022-12-27,0.04771380126476288,0,0,0.05966680124402046,0,2,Bournemouth,0.04771380126476288,565672,0,Lloyd Kelly,2022,0,90,DC,18365,1,Chelsea,0.05966680124402046,0
2022-09-03,0,1,0,0.11880599707365036,0.11892600357532501,2,Bournemouth,0,547141,1,Lloyd Kelly,2022,3,90,DC,18254,0,Nottingham Forest,0.11880599707365036,0
2022-08-31,0,0,0,0.12054400146007538,0,0,Wolverhampton Wanderers,0,546284,0,Lloyd Kelly,2022,0,90,DC,18248,0,Bournemouth,0.12054400146007538,0
2022-08-20,0,1,0,0.021167999133467674,0.021167999133467674,0,Arsenal,0,542550,0,Lloyd Kelly,2022,3,90,DC,18227,0,Bournemouth,0,0
2022-08-13,0,0,0,0.0267488993704319,0,4,Bournemouth,0,540572,0,Lloyd Kelly,2022,0,90,DC,18214,0,Manchester City,0.0267488993704319,0
2022-08-06,0,1,0,0,0.02723810076713562,2,Aston Villa,0,539399,1,Lloyd Kelly,2022,0,90,DC,18204,0,Bournemouth,0,0
