date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-28,0.0,0,0,0.0,1,Manchester City,600892,0,Shandon Baptiste,2022,0,8,Sub,18574,0.0,0.0,0,Brentford,0.0,0
2023-05-20,0.0,0,0,0.0,1,Brentford,597837,0,Shandon Baptiste,2022,3,14,Sub,18569,0.0,0.0,0,Tottenham,0.0,0
2023-05-14,0.0,1,0,0.05894654989242554,2,West Ham,596904,0,Shandon Baptiste,2022,0,9,Sub,18554,0.05894654989242554,0.0,0,Brentford,0.0,0
2023-05-06,0.0,0,0,0.0,1,Brentford,594974,0,Shandon Baptiste,2022,0,5,Sub,18545,0.0,0.0,0,Liverpool,0.0,0
2023-04-29,0.0,0,0,0.033670224249362946,2,Nottingham Forest,592398,0,Shandon Baptiste,2022,1,17,Sub,18534,0.0,0.033670224249362946,0,Brentford,0.0,0
2023-04-26,0.040064334869384766,2,0,0.37472525238990784,0,Brentford,591675,1,Shandon Baptiste,2022,2,27,Sub,18529,0.33466091752052307,0.204509437084198,1,Chelsea,0.040064334869384766,0
2023-04-15,0.0,0,0,0.0,2,Brentford,588419,0,Shandon Baptiste,2022,0,14,Sub,18511,0.0,0.0,0,Wolverhampton Wanderers,0.0,0
2023-04-08,0.0,0,0,0.0713094025850296,1,Newcastle United,586670,0,Shandon Baptiste,2022,2,13,Sub,18493,0.0,0.0713094025850296,0,Brentford,0.0,0
2023-04-05,0.023708900436758995,1,0,0.02595219947397709,1,Brentford,586151,0,Shandon Baptiste,2022,0,26,Sub,18448,0.0163480993360281,0.02595219947397709,1,Manchester United,0.023708900436758995,0
2023-03-18,0.0,0,0,0.0,1,Leicester,583025,0,Shandon Baptiste,2022,1,13,Sub,18474,0.0,0.0,0,Brentford,0.0,0
2023-02-18,0.0,0,0,0.0,1,Crystal Palace,576458,0,Shandon Baptiste,2022,1,4,Sub,18433,0.0,0.0,0,Brentford,0.0,0
2022-10-23,0.0,0,0,0.0,4,Brentford,558808,0,Shandon Baptiste,2022,0,9,Sub,18322,0.0,0.0,0,Aston Villa,0.0,0
2022-10-19,0.0,1,0,0.10611099749803543,0,Chelsea,557590,0,Shandon Baptiste,2022,0,27,Sub,18314,0.10611099749803543,0.0,0,Brentford,0.0,0
2022-10-14,0.0,0,0,0.0,2,Brighton,555546,0,Shandon Baptiste,2022,0,17,Sub,18303,0.0,0.0,0,Brentford,0.0,0
2022-10-08,0.0941162034869194,1,0,0.16040000319480896,5,Brentford,554109,0,Shandon Baptiste,2022,1,65,MC,18299,0.06628339737653732,0.0,1,Newcastle United,0.0941162034869194,0
2022-10-01,0.0,2,0,0.20330700278282166,0,Brentford,552410,0,Shandon Baptiste,2022,0,88,MC,18283,0.13768300414085388,0.13630400598049164,0,Bournemouth,0.0,0
2022-09-18,0.0,1,0,0.3102850019931793,0,Arsenal,551050,0,Shandon Baptiste,2022,3,19,Sub,18280,0.3102850019931793,0.3102850019931793,0,Brentford,0.0,0
2022-09-03,0.0,0,0,0.0802856981754303,5,Leeds,547220,0,Shandon Baptiste,2022,2,62,MC,18257,0.0,0.0802856981754303,0,Brentford,0.0,0
2022-08-30,0.0,0,0,0.027067700400948524,1,Brentford,545874,0,Shandon Baptiste,2022,1,69,MC,18243,0.0,0.027067700400948524,0,Crystal Palace,0.0,0
2022-08-27,0.0,0,0,0.0,1,Everton,544533,0,Shandon Baptiste,2022,1,20,Sub,18233,0.0,0.0,0,Brentford,0.0,0
2022-08-20,0.02667980082333088,1,0,0.07538080215454102,3,Brentford,542422,0,Shandon Baptiste,2022,2,14,Sub,18225,0.04870099946856499,0.0,1,Fulham,0.02667980082333088,0
2022-08-13,0.0,0,0,0.0,4,Manchester United,540807,0,Shandon Baptiste,2022,0,12,Sub,18218,0.0,0.0,0,Brentford,0.0,0
2022-08-07,0.0,0,0,0.0,2,Brentford,539847,0,Shandon Baptiste,2022,2,16,Sub,18210,0.0,0.0,0,Leicester,0.0,0
