date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-22,0.12080200016498566,3,0,0.20707300305366516,0.07817990332841873,0,Tottenham,0.12080200016498566,537949,0,Milot Rashica,2021,5,90,ML,16755,2,Norwich,0.031684499233961105,0
2022-05-11,0,1,0,0.5785109996795654,0.5181649923324585,3,Norwich,0,534849,0,Milot Rashica,2021,0,69,ML,16582,0,Leicester,0.0603456012904644,0
2022-05-08,0,0,0,0,0,0,West Ham,0,533373,0,Milot Rashica,2021,4,49,AML,16726,0,Norwich,0,0
2022-04-30,0.018926599994301796,2,0,0.09987509995698929,0.027589499950408936,2,Norwich,0.018926599994301796,530576,0,Milot Rashica,2021,0,82,AML,16725,1,Aston Villa,0.07228550314903259,0
2022-04-23,0,0,0,0,0,0,Newcastle United,0,528705,0,Milot Rashica,2021,3,77,AML,16706,0,Norwich,0,0
2022-04-16,0.17163999378681183,0,0,0.17163999378681183,0,3,Norwich,0.17163999378681183,526391,0,Milot Rashica,2021,2,90,AML,16702,4,Manchester United,0,0
2022-04-10,0.15164700150489807,2,0,0.21115200221538544,0.03629269823431969,2,Burnley,0.15164700150489807,525249,0,Milot Rashica,2021,0,90,AML,16688,3,Norwich,0.07503680139780045,0
2022-04-02,0.38339799642562866,0,0,0.38339799642562866,0,0,Norwich,0.38339799642562866,522744,0,Milot Rashica,2021,0,82,FW,16685,2,Brighton,0,0
2022-03-13,0.1270579993724823,0,0,0.1643809974193573,0,2,Norwich,0.1270579993724823,520061,0,Milot Rashica,2021,1,90,FWL,16662,3,Leeds,0.12026800215244293,0
2022-03-10,0.018363000825047493,2,0,0.05338370054960251,0.11787600070238113,1,Chelsea,0.018363000825047493,518980,0,Milot Rashica,2021,3,43,Sub,16672,1,Norwich,0,0
2022-03-05,0.17488299310207367,2,0,0.2452230006456375,0.061153799295425415,1,Brentford,0.17488299310207367,517586,0,Milot Rashica,2021,3,90,FWL,16652,2,Norwich,0.05754199996590614,0
2022-02-25,0,1,0,0.016022400930523872,0.016022400930523872,2,Norwich,0,515594,0,Milot Rashica,2021,0,73,ML,16644,0,Southampton,0,0
2022-02-19,0.0380048006772995,1,1,0.15129099786281586,0.130048006772995,3,Norwich,0.0380048006772995,514256,0,Milot Rashica,2021,1,87,FWL,16631,2,Liverpool,0,1
2022-02-12,0.04097260162234306,1,0,0.09104059636592865,0.050067901611328125,0,Manchester City,0.04097260162234306,512859,0,Milot Rashica,2021,4,90,FWL,16623,1,Norwich,0,0
2022-02-09,0.027346599847078323,2,0,0.2111860066652298,0.08522559702396393,1,Crystal Palace,0.027346599847078323,512151,0,Milot Rashica,2021,1,90,ML,16609,1,Norwich,0.18383899331092834,0
2022-01-21,0.13863599300384521,2,0,0.10125499963760376,0.11027199774980545,0,Norwich,0.13863599300384521,509451,1,Milot Rashica,2021,3,90,ML,16605,2,Watford,0,0
2022-01-15,0.07304920256137848,2,0,0.08883489668369293,0.034109100699424744,2,Everton,0.07304920256137848,508118,0,Milot Rashica,2021,1,90,AML,16592,1,Norwich,0,0
2022-01-12,0.06936030089855194,2,0,0.086313396692276,0.14349199831485748,2,Norwich,0.06936030089855194,507780,0,Milot Rashica,2021,0,75,AML,16554,1,West Ham,0,0
2021-11-27,0.0690143033862114,3,0,0.6118710041046143,0.16221900284290314,0,Wolverhampton Wanderers,0.0690143033862114,497382,0,Milot Rashica,2021,0,84,ML,16505,3,Norwich,0.4359529912471771,0
2021-11-20,0.06946759670972824,0,0,0.18043500185012817,0,2,Southampton,0.06946759670972824,495792,0,Milot Rashica,2021,1,90,FWR,16492,1,Norwich,0.1109670028090477,0
2021-11-06,0.08671189844608307,1,0,0.19868800044059753,0.024181000888347626,1,Norwich,0.08671189844608307,494016,0,Milot Rashica,2021,2,90,ML,16477,3,Brentford,0.14113999903202057,0
2021-10-31,0.3131360113620758,2,0,0.19307799637317657,0.09990119934082031,1,Leeds,0.3131360113620758,492817,1,Milot Rashica,2021,2,90,DML,16472,5,Norwich,0.06728760153055191,0
2021-10-23,0.23650500178337097,0,0,0.23650500178337097,0,7,Norwich,0.23650500178337097,489689,0,Milot Rashica,2021,0,43,Sub,16459,1,Chelsea,0,0
2021-10-16,0,2,0,0.10518699884414673,0.11912500113248825,0,Brighton,0,488168,0,Milot Rashica,2021,0,11,Sub,16453,0,Norwich,0,0
2021-10-02,0,0,0,0,0,0,Norwich,0,486517,0,Milot Rashica,2021,0,6,Sub,16437,0,Burnley,0,0
2021-09-25,0,1,0,0.011743499897420406,0.011743499897420406,2,Norwich,0,484726,0,Milot Rashica,2021,0,19,Sub,16428,0,Everton,0,0
2021-09-18,0.11108899861574173,0,0,0.11108899861574173,0,1,Watford,0.11108899861574173,482152,0,Milot Rashica,2021,3,90,FWL,16418,2,Norwich,0,0
2021-09-11,0,0,0,0,0,1,Norwich,0,480292,0,Milot Rashica,2021,0,20,Sub,16407,0,Arsenal,0,0
2021-08-28,0.06227840110659599,1,0,0.08997850120067596,0.02554750069975853,1,Leicester,0.06227840110659599,478868,0,Milot Rashica,2021,2,90,FWL,16398,1,Norwich,0.06443099677562714,0
2021-08-21,0.025008799508213997,0,0,0.025008799508213997,0,5,Norwich,0.025008799508213997,476926,0,Milot Rashica,2021,0,90,FWL,16387,1,Manchester City,0,0
2021-08-14,0.04236200079321861,3,0,0.09262029826641083,0.06336709856987,0,Liverpool,0.04236200079321861,475683,0,Milot Rashica,2021,3,78,ML,16383,1,Norwich,0,0
