date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-19,0,0,0,0.0539017990231514,0,1,Burnley,0,536810,0,Carney Chukwuemeka,2021,1,58,AMC,16546,0,Aston Villa,0.0539017990231514,0
2022-05-10,0,0,0,0.018769200891256332,0,1,Liverpool,0,534601,0,Carney Chukwuemeka,2021,2,25,Sub,16705,0,Aston Villa,0.018769200891256332,0
2022-05-07,0.11340600252151489,0,0,0.16043800115585327,0,1,Aston Villa,0.11340600252151489,534254,0,Carney Chukwuemeka,2021,3,21,Sub,16732,1,Burnley,0.04703240096569061,0
2022-02-13,0,0,0,0.01384430006146431,0,1,Aston Villa,0,513356,0,Carney Chukwuemeka,2021,0,1,Sub,16622,0,Newcastle United,0.01384430006146431,0
2022-02-09,0.03689289838075638,0,0,0.03689289838075638,0,3,Leeds,0.03689289838075638,512239,0,Carney Chukwuemeka,2021,3,28,Sub,16606,1,Aston Villa,0.03689289838075638,0
2022-01-22,0,0,0,0,0,0,Aston Villa,0,509484,0,Carney Chukwuemeka,2021,1,12,Sub,16600,0,Everton,0,0
2022-01-15,0,0,0,0.42198699712753296,0,2,Manchester United,0,508237,0,Carney Chukwuemeka,2021,2,9,Sub,16586,0,Aston Villa,0.42198699712753296,0
2021-12-26,0.06809590011835098,0,0,0.09615179896354675,0,1,Chelsea,0.06809590011835098,505159,0,Carney Chukwuemeka,2021,3,15,Sub,16556,1,Aston Villa,0.02805590070784092,0
2021-12-14,0,1,0,0.9319689869880676,0.9319689869880676,0,Aston Villa,0,503060,1,Carney Chukwuemeka,2021,2,3,Sub,16541,0,Norwich,0,0
2021-12-05,0,1,0,0.05580969899892807,0.05580969899892807,2,Leicester,0,500872,0,Carney Chukwuemeka,2021,1,9,Sub,16516,0,Aston Villa,0.05580969899892807,0
2021-12-01,0.4084950089454651,0,0,0.4084950089454651,0,1,Manchester City,0.4084950089454651,499333,0,Carney Chukwuemeka,2021,2,21,Sub,16506,1,Aston Villa,0,0
2021-08-28,0,0,0,0,0,1,Brentford,0,478946,0,Carney Chukwuemeka,2021,1,64,MC,16399,0,Aston Villa,0,0
