date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-12-19,0.07419340312480927,0,0,0.008284339681267738,0,Manchester City,504058,0,Isaac Hayden,2021,4,62,MC,16550,0.0,0.008284339681267738,1,Newcastle United,0.07419340312480927,0
2021-12-16,0.0,0,0,0.0,3,Newcastle United,503378,0,Isaac Hayden,2021,1,90,MC,16544,0.0,0.0,0,Liverpool,0.0,0
2021-11-30,0.06284040212631226,0,0,0.06284040212631226,1,Norwich,498653,0,Isaac Hayden,2021,1,15,Sub,16513,0.0,0.0,1,Newcastle United,0.06284040212631226,0
2021-11-27,0.0,0,0,0.0,2,Newcastle United,497096,0,Isaac Hayden,2021,0,1,Sub,16496,0.0,0.0,0,Arsenal,0.0,0
2021-11-06,0.1316860020160675,0,1,0.039604999125003815,1,Newcastle United,494252,0,Isaac Hayden,2021,1,90,MC,16478,0.0,0.039604999125003815,2,Brighton,0.1316860020160675,1
2021-10-30,0.0,0,0,0.0,0,Chelsea,492216,0,Isaac Hayden,2021,3,70,MC,16471,0.0,0.0,0,Newcastle United,0.0,0
2021-10-23,0.0,0,0,0.04489370062947273,1,Newcastle United,489957,0,Isaac Hayden,2021,1,90,MC,16460,0.0,0.04489370062947273,0,Crystal Palace,0.0,0
2021-10-17,0.0,0,0,0.07971300184726715,2,Tottenham,489068,0,Isaac Hayden,2021,3,90,DMC,16452,0.0,0.07971300184726715,0,Newcastle United,0.0,0
2021-10-02,0.0,0,0,0.0,2,Newcastle United,486539,0,Isaac Hayden,2021,1,90,MC,16445,0.0,0.0,0,Wolverhampton Wanderers,0.0,0
2021-09-25,0.0,1,0,0.28239700198173523,1,Newcastle United,484775,0,Isaac Hayden,2021,1,90,DMC,16427,0.04534300044178963,0.2370540052652359,0,Watford,0.0,0
2021-09-17,0.0,1,0,0.014034999534487724,1,Leeds,481699,0,Isaac Hayden,2021,1,90,DC,16416,0.014034999534487724,0.014034999534487724,0,Newcastle United,0.0,0
2021-09-11,0.0,0,0,0.3851250112056732,4,Newcastle United,480363,0,Isaac Hayden,2021,1,90,DC,16410,0.0,0.3851250112056732,0,Manchester United,0.0,0
2021-08-21,0.0,0,0,0.0,2,Newcastle United,476952,0,Isaac Hayden,2021,0,50,MC,16388,0.0,0.0,0,Aston Villa,0.0,0
2021-08-15,0.020706800743937492,0,0,0.14909300208091736,2,West Ham,475994,0,Isaac Hayden,2021,4,90,MC,16384,0.0,0.1283860057592392,1,Newcastle United,0.020706800743937492,0
